dg_id,driving_accuracy,driving_distance,sg_approach,sg_around_green,sg_off_the_tee,sg_putting,sg_total,last_updated
19960,0.011,0.244,-0.319,-0.346,0.092,0.133,-0.439,2025-05-05 17:26:31 UTC
14209,-0.015,-1.161,-0.424,0.125,-0.089,-0.054,-0.442,2025-05-05 17:26:31 UTC
25919,-0.05,15.372,-0.335,-0.134,0.277,-0.25,-0.443,2025-05-05 17:26:31 UTC
23610,-0.012,1.877,-0.062,-0.184,0.005,-0.212,-0.452,2025-05-05 17:26:31 UTC
25362,-0.052,5.326,-0.296,0.064,-0.135,-0.094,-0.461,2025-05-05 17:26:31 UTC
16652,-0.013,-3.981,-0.282,0.048,-0.362,0.133,-0.462,2025-05-05 17:26:31 UTC
19898,-0.007,-2.57,-0.167,-0.042,-0.187,-0.071,-0.466,2025-05-05 17:26:31 UTC
18524,0.065,-6.105,-0.226,-0.059,0.189,-0.371,-0.467,2025-05-05 17:26:31 UTC
14196,-0.042,5.044,-0.425,-0.201,-0.024,0.181,-0.468,2025-05-05 17:26:31 UTC
13497,0.006,-1.531,-0.27,0.025,-0.061,-0.18,-0.486,2025-05-05 17:26:31 UTC
17639,0.056,-18.085,0.015,0.058,-0.392,-0.168,-0.488,2025-05-05 17:26:31 UTC
18027,0.059,-6.315,-0.435,-0.113,0.019,0.024,-0.505,2025-05-05 17:26:31 UTC
25131,-0.041,5.541,-0.482,0.002,-0.059,0.031,-0.509,2025-05-05 17:26:31 UTC
12920,-0.012,-6.16,-0.392,0.117,-0.357,0.122,-0.51,2025-05-05 17:26:31 UTC
22050,-0.007,-2.636,-0.362,-0.086,-0.273,0.208,-0.513,2025-05-05 17:26:31 UTC
14666,0.026,-0.567,-0.302,-0.177,0.109,-0.142,-0.513,2025-05-05 17:26:31 UTC
18517,-0.035,0.305,0.029,-0.084,-0.29,-0.172,-0.517,2025-05-05 17:26:31 UTC
5665,-0.021,-1.433,-0.269,0.089,-0.251,-0.099,-0.53,2025-05-05 17:26:31 UTC
12321,-0.003,-6.145,-0.461,0.019,-0.185,0.097,-0.53,2025-05-05 17:26:31 UTC
22535,-0.019,10.037,0.015,-0.221,0.235,-0.565,-0.536,2025-05-05 17:26:31 UTC
17381,0.02,-5.763,-0.334,-0.032,-0.166,-0.019,-0.551,2025-05-05 17:26:31 UTC
12734,0.028,-10.384,-0.319,-0.105,-0.267,0.14,-0.551,2025-05-05 17:26:31 UTC
19538,-0.037,12.842,-0.577,-0.232,0.378,-0.121,-0.552,2025-05-05 17:26:31 UTC
17813,-0.027,-3.706,0.074,0.049,-0.285,-0.391,-0.553,2025-05-05 17:26:31 UTC
27780,-0.046,2.282,-0.252,0.022,-0.3,-0.038,-0.568,2025-05-05 17:26:31 UTC
18722,0.004,-2.401,-0.101,-0.185,-0.072,-0.21,-0.569,2025-05-05 17:26:31 UTC
16433,0.02,-3.073,-0.238,-0.094,-0.104,-0.134,-0.57,2025-05-05 17:26:31 UTC
19866,-0.021,1.855,-0.19,-0.235,-0.141,-0.004,-0.57,2025-05-05 17:26:31 UTC
27420,-0.008,-3.969,-0.272,0.031,-0.302,-0.03,-0.573,2025-05-05 17:26:31 UTC
22259,-0.097,14.869,-0.443,-0.225,0.017,0.077,-0.574,2025-05-05 17:26:31 UTC
18105,0.007,-1.376,-0.356,-0.136,0.013,-0.096,-0.575,2025-05-05 17:26:31 UTC
14018,0.026,-8.191,-0.306,-0.16,-0.149,0.025,-0.59,2025-05-05 17:26:31 UTC
8605,-0.048,-1.582,-0.222,-0.024,-0.355,-0.027,-0.628,2025-05-05 17:26:31 UTC
11397,0.001,-2.782,-0.338,-0.077,-0.172,-0.042,-0.629,2025-05-05 17:26:31 UTC
26947,-0.019,2.789,-0.061,-0.183,-0.04,-0.356,-0.638,2025-05-05 17:26:31 UTC
8480,0.016,-6.266,-0.18,-0.05,-0.189,-0.223,-0.642,2025-05-05 17:26:31 UTC
28157,-0.008,1.774,-0.422,-0.093,0.029,-0.163,-0.649,2025-05-05 17:26:31 UTC
15980,0.019,-11.24,-0.061,0.078,-0.406,-0.267,-0.656,2025-05-05 17:26:31 UTC
