seasonIDs,roundNums,seriesLetters,seriesLinks,bottomSeedIDs,bottomSeedWins,topSeedIDs,topSeedWins
19531954,1,B,/schedule/playoff-series/1954/series-b/bruins-vs-canadiens,6,0,8,4
19531954,2,I,/schedule/playoff-series/1954/series-i/canadiens-vs-redwings,8,3,17,4
19541955,1,A,/schedule/playoff-series/1955/series-a/mapleleafs-vs-redwings,10,0,17,4
19541955,1,B,/schedule/playoff-series/1955/series-b/bruins-vs-canadiens,6,1,8,4
19541955,2,I,/schedule/playoff-series/1955/series-i/canadiens-vs-redwings,8,3,17,4
19551956,1,A,/schedule/playoff-series/1956/series-a/rangers-vs-canadiens,3,1,8,4
19551956,1,B,/schedule/playoff-series/1956/series-b/mapleleafs-vs-redwings,10,1,17,4
19551956,2,I,/schedule/playoff-series/1956/series-i/redwings-vs-canadiens,17,1,8,4
19561957,1,A,/schedule/playoff-series/1957/series-a/bruins-vs-redwings,6,4,17,1
19561957,1,B,/schedule/playoff-series/1957/series-b/canadiens-vs-rangers,8,4,3,1
19561957,2,I,/schedule/playoff-series/1957/series-i/bruins-vs-canadiens,6,1,8,4
19571958,1,A,/schedule/playoff-series/1958/series-a/redwings-vs-canadiens,17,0,8,4
19571958,1,B,/schedule/playoff-series/1958/series-b/bruins-vs-rangers,6,4,3,2
19571958,2,I,/schedule/playoff-series/1958/series-i/bruins-vs-canadiens,6,2,8,4
19581959,1,A,/schedule/playoff-series/1959/series-a/blackhawks-vs-canadiens,16,2,8,4
19581959,1,B,/schedule/playoff-series/1959/series-b/mapleleafs-vs-bruins,10,4,6,3
19581959,2,I,/schedule/playoff-series/1959/series-i/mapleleafs-vs-canadiens,10,1,8,4
19591960,1,A,/schedule/playoff-series/1960/series-a/blackhawks-vs-canadiens,16,0,8,4
19591960,1,B,/schedule/playoff-series/1960/series-b/redwings-vs-mapleleafs,17,2,10,4
19591960,2,I,/schedule/playoff-series/1960/series-i/mapleleafs-vs-canadiens,10,0,8,4
19601961,1,A,/schedule/playoff-series/1961/series-a/blackhawks-vs-canadiens,16,4,8,2
19601961,1,B,/schedule/playoff-series/1961/series-b/redwings-vs-mapleleafs,17,4,10,1
19601961,2,I,/schedule/playoff-series/1961/series-i/redwings-vs-blackhawks,17,2,16,4
19611962,1,A,/schedule/playoff-series/1962/series-a/blackhawks-vs-canadiens,16,4,8,2
19611962,1,B,/schedule/playoff-series/1962/series-b/rangers-vs-mapleleafs,3,2,10,4
19611962,2,I,/schedule/playoff-series/1962/series-i/blackhawks-vs-mapleleafs,16,2,10,4
19621963,1,A,/schedule/playoff-series/1963/series-a/canadiens-vs-mapleleafs,8,1,10,4
19621963,1,B,/schedule/playoff-series/1963/series-b/redwings-vs-blackhawks,17,4,16,2
19621963,2,I,/schedule/playoff-series/1963/series-i/redwings-vs-mapleleafs,17,1,10,4
19631964,1,A,/schedule/playoff-series/1964/series-a/mapleleafs-vs-canadiens,10,4,8,3
19631964,1,B,/schedule/playoff-series/1964/series-b/redwings-vs-blackhawks,17,4,16,3
19631964,2,I,/schedule/playoff-series/1964/series-i/redwings-vs-mapleleafs,17,3,10,4
19641965,1,A,/schedule/playoff-series/1965/series-a/blackhawks-vs-redwings,16,4,17,3
19641965,1,B,/schedule/playoff-series/1965/series-b/mapleleafs-vs-canadiens,10,2,8,4
19641965,2,I,/schedule/playoff-series/1965/series-i/blackhawks-vs-canadiens,16,3,8,4
19651966,1,A,/schedule/playoff-series/1966/series-a/mapleleafs-vs-canadiens,10,0,8,4
19651966,1,B,/schedule/playoff-series/1966/series-b/redwings-vs-blackhawks,17,4,16,2
19651966,2,I,/schedule/playoff-series/1966/series-i/redwings-vs-canadiens,17,2,8,4
19661967,1,A,/schedule/playoff-series/1967/series-a/mapleleafs-vs-blackhawks,10,4,16,2
19661967,1,B,/schedule/playoff-series/1967/series-b/rangers-vs-canadiens,3,0,8,4
19661967,2,I,/schedule/playoff-series/1967/series-i/mapleleafs-vs-canadiens,10,4,8,2
19671968,1,A,/schedule/playoff-series/1968/series-a/bruins-vs-canadiens,6,0,8,4
19671968,1,B,/schedule/playoff-series/1968/series-b/blackhawks-vs-rangers,16,4,3,2
19671968,1,C,/schedule/playoff-series/1968/series-c/blues-vs-flyers,19,4,4,3
19671968,1,D,/schedule/playoff-series/1968/series-d/northstars-vs-kings,31,4,26,3
19671968,2,I,/schedule/playoff-series/1968/series-i/blackhawks-vs-canadiens,16,1,8,4
19671968,2,J,/schedule/playoff-series/1968/series-j/northstars-vs-blues,31,3,19,4
