gameID,playerId,sweaterNumber,position,pim,toi,evenStrengthShotsAgainst,powerPlayShotsAgainst,shorthandedShotsAgainst,saveShotsAgainst,savePctg,evenStrengthGoalsAgainst,powerPlayGoalsAgainst,shorthandedGoalsAgainst,goalsAgainst,starter,shotsAgainst,saves
2003020528,8465093,42,G,,,,,,,,,,,,False,,
2003020528,8466290,1,G,,,,,,,,,,,,False,,
2003020528,8467364,30,G,0.0,61:34,17/18,2/2,1/2,20/22,0.909091,1.0,0.0,1.0,2.0,True,22.0,20.0
2003020529,8460712,29,G,0.0,60:00,31/32,1/1,0/0,32/33,0.969697,1.0,0.0,0.0,1.0,True,33.0,32.0
2003020529,8462152,30,G,,,,,,,,,,,,False,,
2003020529,8445769,1,G,0.0,58:11,14/17,4/4,0/0,18/21,0.857143,3.0,0.0,0.0,3.0,True,21.0,18.0
2003020529,8462052,33,G,,,,,,,,,,,,False,,
2003020530,8469152,1,G,,,,,,,,,,,,False,,
2003020530,8459541,35,G,0.0,60:00,26/28,4/4,1/1,31/33,0.939394,2.0,0.0,0.0,2.0,True,33.0,31.0
2003020530,8467913,35,G,0.0,60:00,19/23,0/1,1/2,20/26,0.769231,4.0,1.0,1.0,6.0,True,26.0,20.0
2003020530,8460516,39,G,,,,,,,,,,,,False,,
2003020531,8460705,20,G,0.0,64:32,25/28,4/4,0/1,29/33,0.878788,3.0,0.0,1.0,4.0,True,33.0,29.0
2003020531,8462117,35,G,,,,,,,,,,,,False,,
2003020531,8458584,1,G,,,,,,,,,,,,False,,
2003020531,8469658,35,G,2.0,65:00,20/22,3/5,0/0,23/27,0.851852,2.0,2.0,0.0,4.0,True,27.0,23.0
2003020532,8469636,31,G,0.0,58:01,14/18,5/5,0/0,19/23,0.826087,4.0,0.0,0.0,4.0,True,23.0,19.0
2003020532,8455994,34,G,,,,,,,,,,,,False,,
2003020532,8468037,31,G,,,,,,,,,,,,False,,
2003020532,8459579,40,G,0.0,59:33,16/17,3/4,2/2,21/23,0.913043,1.0,1.0,0.0,2.0,True,23.0,21.0
2003020533,8448382,31,G,,,,,,,,,,,,False,,
2003020533,8459308,34,G,0.0,60:00,13/14,7/9,4/4,24/27,0.888889,1.0,2.0,0.0,3.0,True,27.0,24.0
2003020533,8459132,29,G,,,,,,,,,,,,False,,
2003020533,8468038,49,G,0.0,59:56,13/13,3/3,4/4,20/20,1.0,0.0,0.0,0.0,0.0,True,20.0,20.0
2003020534,8458562,29,G,,,,,,,,,,,,False,,
2003020534,8462147,34,G,0.0,60:00,16/16,2/3,2/2,20/21,0.952381,0.0,1.0,0.0,1.0,True,21.0,20.0
2003020534,8469152,1,G,,,,,,,,,,,,False,,
2003020534,8459541,35,G,0.0,59:28,17/19,2/2,0/0,19/21,0.904762,2.0,0.0,0.0,2.0,True,21.0,19.0
2003020535,8455710,30,G,0.0,58:34,18/20,3/4,0/0,21/24,0.875,2.0,1.0,0.0,3.0,True,24.0,21.0
2003020535,8467900,31,G,,,,,,,,,,,,False,,
2003020535,8458075,30,G,0.0,60:00,23/24,5/5,0/0,28/29,0.965517,1.0,0.0,0.0,1.0,True,29.0,28.0
2003020535,8459523,35,G,,,,,,,,,,,,False,,
2003020536,8467453,1,G,,,,,,,,,,,,False,,
2003020536,8457714,29,G,0.0,60:00,24/25,4/4,0/0,28/29,0.965517,1.0,0.0,0.0,1.0,True,29.0,28.0
2003020536,8467895,33,G,,,,,,,,,,,,False,,
2003020536,8448535,37,G,0.0,58:15,29/31,2/2,0/1,31/34,0.911765,2.0,0.0,1.0,3.0,True,34.0,31.0
2003020537,8466156,35,G,0.0,58:51,21/23,6/6,2/2,29/31,0.935484,2.0,0.0,0.0,2.0,True,31.0,29.0
2003020537,8462047,43,G,,,,,,,,,,,,False,,
2003020537,8460497,1,G,,,,,,,,,,,,False,,
2003020537,8459463,80,G,0.0,59:59,20/21,1/1,0/0,21/22,0.954545,1.0,0.0,0.0,1.0,True,22.0,21.0
2003020538,8469675,29,G,,,,,,,,,,,,False,,
2003020538,8462044,35,G,0.0,60:00,24/24,6/6,1/1,31/31,1.0,0.0,0.0,0.0,0.0,True,31.0,31.0
2003020538,8459140,35,G,0.0,57:49,18/20,2/2,3/3,23/25,0.92,2.0,0.0,0.0,2.0,True,25.0,23.0
2003020538,8460715,47,G,,,,,,,,,,,,False,,
2003020539,8458568,30,G,0.0,03:52,0/0,1/1,0/0,1/1,1.0,0.0,0.0,0.0,0.0,True,1.0,1.0
2003020539,8462161,35,G,0.0,56:08,17/17,5/7,0/0,22/24,0.916667,0.0,2.0,0.0,2.0,False,24.0,22.0
2003020539,8462055,30,G,0.0,58:38,20/22,10/11,1/1,31/34,0.911765,2.0,1.0,0.0,3.0,True,34.0,31.0
2003020539,8459252,40,G,,,,,,,,,,,,False,,
2003020540,8459132,29,G,0.0,58:27,20/21,0/0,0/0,20/21,0.952381,1.0,0.0,0.0,1.0,True,21.0,20.0
2003020540,8468038,49,G,,,,,,,,,,,,False,,
2003020540,8462102,30,G,,,,,,,,,,,,False,,
2003020540,8467959,31,G,2.0,60:00,30/30,0/0,1/1,31/31,1.0,0.0,0.0,0.0,0.0,True,31.0,31.0
2003020541,8464999,30,G,,,,,,,,,,,,False,,
2003020541,8460535,60,G,0.0,60:00,24/25,0/0,2/2,26/27,0.962963,1.0,0.0,0.0,1.0,True,27.0,26.0
2003020541,8469636,31,G,,,,,,,,,,,,False,,
2003020541,8455994,34,G,0.0,58:44,22/24,4/4,0/0,26/28,0.928571,2.0,0.0,0.0,2.0,True,28.0,26.0
2003020542,8445386,20,G,0.0,65:00,31/34,4/5,0/0,35/39,0.897436,3.0,1.0,0.0,4.0,True,39.0,35.0
2003020542,8456830,37,G,,,,,,,,,,,,False,,
2003020542,8466141,1,G,0.0,65:00,25/28,6/7,3/3,34/38,0.894737,3.0,1.0,0.0,4.0,True,38.0,34.0
2003020542,8458615,31,G,,,,,,,,,,,,False,,
2003020543,8447449,33,G,,,,,,,,,,,,False,,
2003020543,8465093,42,G,0.0,65:00,17/17,2/4,1/1,20/22,0.909091,0.0,2.0,0.0,2.0,True,22.0,20.0
2003020543,8451837,31,G,,,,,,,,,,,,False,,
2003020543,8460612,35,G,2.0,64:51,19/21,5/5,2/2,26/28,0.928571,2.0,0.0,0.0,2.0,True,28.0,26.0
2003020544,8467913,35,G,,,,,,,,,,,,False,,
2003020544,8460516,39,G,0.0,59:55,21/23,10/10,3/3,34/36,0.944444,2.0,0.0,0.0,2.0,True,36.0,34.0
2003020544,8466290,1,G,0.0,59:03,16/17,6/7,2/3,24/27,0.888889,1.0,1.0,1.0,3.0,True,27.0,24.0
2003020544,8467364,30,G,,,,,,,,,,,,False,,
2003020545,8460806,30,G,0.0,64:59,42/44,2/2,0/0,44/46,0.956522,2.0,0.0,0.0,2.0,True,46.0,44.0
2003020545,8458988,35,G,,,,,,,,,,,,False,,
2003020545,8458562,29,G,,,,,,,,,,,,False,,
2003020545,8462147,34,G,0.0,64:56,17/18,0/1,0/0,17/19,0.894737,1.0,1.0,0.0,2.0,True,19.0,17.0
2003020546,8456137,30,G,0.0,60:23,14/15,6/7,2/2,22/24,0.916667,1.0,1.0,0.0,2.0,True,24.0,22.0
2003020546,8462255,40,G,,,,,,,,,,,,False,,
2003020546,8445769,1,G,0.0,61:00,17/19,10/11,1/1,28/31,0.903226,2.0,1.0,0.0,3.0,True,31.0,28.0
2003020546,8462052,33,G,,,,,,,,,,,,False,,
2003020547,8460712,29,G,0.0,20:00,4/6,6/7,0/0,10/13,0.769231,2.0,1.0,0.0,3.0,True,13.0,10.0
2003020547,8462152,30,G,0.0,39:25,11/11,3/3,0/1,14/15,0.933333,0.0,0.0,1.0,1.0,False,15.0,14.0
2003020547,8460705,20,G,0.0,60:00,13/14,6/7,0/0,19/21,0.904762,1.0,1.0,0.0,2.0,True,21.0,19.0
2003020547,8462117,35,G,,,,,,,,,,,,False,,
2003020548,8468037,31,G,0.0,60:00,18/18,5/5,1/1,24/24,1.0,0.0,0.0,0.0,0.0,True,24.0,24.0
2003020548,8459579,40,G,,,,,,,,,,,,False,,
2003020548,8467453,1,G,0.0,59:58,14/16,6/6,3/4,23/26,0.884615,2.0,0.0,1.0,3.0,True,26.0,23.0
2003020548,8457714,29,G,,,,,,,,,,,,False,,
2003020549,8447449,33,G,,,,,,,,,,,,False,,
2003020549,8465093,42,G,0.0,60:00,24/24,3/5,1/1,28/30,0.933333,0.0,2.0,0.0,2.0,True,30.0,28.0
2003020549,8462161,35,G,0.0,29:24,9/10,1/3,0/0,10/13,0.769231,1.0,2.0,0.0,3.0,True,13.0,10.0
2003020549,8468741,50,G,0.0,30:36,8/9,3/6,1/1,12/16,0.75,1.0,3.0,0.0,4.0,False,16.0,12.0
2003020550,8460806,30,G,,,,,,,,,,,,False,,
2003020550,8458988,35,G,0.0,65:00,32/34,3/3,3/3,38/40,0.95,2.0,0.0,0.0,2.0,True,40.0,38.0
2003020550,8469152,1,G,,,,,,,,,,,,False,,
2003020550,8459541,35,G,0.0,64:56,13/15,3/3,0/0,16/18,0.888889,2.0,0.0,0.0,2.0,True,18.0,16.0
