teamID,playerID,headshotURLs,firstName,lastName,positionCode,latestGamesPlayed,latestGoals,latestAssists,latestPoints,latestPlusMinus,latestShots,latestShootingPct,latestAvgTOI,latestAvgShifts,latestFOWinPct,latestGS,latestWins,latestLosses,latestTies,latestOTLosses,latestGAA,latestSavePct,latestSA,latestSaves,latestGA,latestSO,latestTOI
7,8478413,https://assets.nhle.com/mugs/nhl/20242025/BUF/8478413.png,Jordan,Greenway,L,,,,,,,,,,,,,,,,,,,,,,
7,8479359,https://assets.nhle.com/mugs/nhl/20242025/BUF/8479359.png,Beck,Malenstyn,L,,,,,,,,,,,,,,,,,,,,,,
7,8479419,https://assets.nhle.com/mugs/nhl/20242025/BUF/8479419.png,Brett,Murray,L,,,,,,,,,,,,,,,,,,,,,,
7,8479420,https://assets.nhle.com/mugs/nhl/20242025/BUF/8479420.png,Tage,Thompson,C,,,,,,,,,,,,,,,,,,,,,,
7,8480064,https://assets.nhle.com/mugs/nhl/20242025/BUF/8480064.png,Josh,Norris,C,,,,,,,,,,,,,,,,,,,,,,
7,8480196,https://assets.nhle.com/mugs/nhl/20242025/BUF/8480196.png,Jacob,Bryson,D,,,,,,,,,,,,,,,,,,,,,,
7,8480802,https://assets.nhle.com/mugs/nhl/20242025/BUF/8480802.png,Ryan,McLeod,C,,,,,,,,,,,,,,,,,,,,,,
7,8480807,https://assets.nhle.com/mugs/nhl/20242025/BUF/8480807.png,Mattias,Samuelsson,D,,,,,,,,,,,,,,,,,,,,,,
7,8480839,https://assets.nhle.com/mugs/nhl/20242025/BUF/8480839.png,Rasmus,Dahlin,D,,,,,,,,,,,,,,,,,,,,,,
7,8480879,https://assets.nhle.com/mugs/nhl/20242025/BUF/8480879.png,Jacob,Bernard-Docker,D,,,,,,,,,,,,,,,,,,,,,,
7,8481522,https://assets.nhle.com/mugs/nhl/20242025/BUF/8481522.png,Peyton,Krebs,C,,,,,,,,,,,,,,,,,,,,,,
7,8481524,https://assets.nhle.com/mugs/nhl/20242025/BUF/8481524.png,Bowen,Byram,D,,,,,,,,,,,,,,,,,,,,,,
