Game ID,Team ID,Player ID,Number,Position
2024030213,10,8475690,8,D
2024030213,10,8475714,19,C
2024030213,10,8476853,44,D
2024030213,10,8476872,24,C
2024030213,10,8476931,22,D
2024030213,13,8477220,88,D
2024030213,13,8477409,23,C
2024030213,13,8477493,16,C
2024030213,13,8477495,3,D
2024030213,10,8477503,11,C
2024030213,13,8477931,92,L
2024030213,13,8477932,5,D
2024030213,13,8477933,13,C
2024030213,13,8477935,9,C
2024030213,10,8477939,88,R
2024030213,13,8477970,41,G
2024030213,13,8478055,42,D
2024030213,13,8478421,10,L
2024030213,10,8478443,25,D
2024030213,10,8478483,16,R
2024030213,13,8478542,17,C
2024030213,13,8478859,77,D
2024030213,10,8478904,18,C
2024030213,13,8479314,19,L
2024030213,10,8479318,34,C
2024030213,10,8479361,60,G
2024030213,13,8479981,12,L
2024030213,13,8480185,27,C
2024030213,10,8480995,29,R
2024030213,10,8481122,2,D
2024030213,13,8482113,15,C
2024030213,10,8482259,74,C
2024030213,10,8482720,23,L
2024030213,10,8483710,35,G
2024030214,13,8473419,63,L
2024030214,10,8474157,67,L
2024030214,10,8475166,91,C
2024030214,10,8475171,95,D
2024030214,13,8475179,7,D
2024030214,13,8475683,72,G
2024030214,10,8475690,8,D
2024030214,10,8475714,19,C
2024030214,10,8476853,44,D
2024030214,10,8476872,24,C
2024030214,10,8476899,30,G
2024030214,10,8476931,22,D
2024030214,13,8477220,88,D
2024030214,13,8477409,23,C
2024030214,13,8477493,16,C
2024030214,13,8477495,3,D
2024030214,10,8477503,11,C
2024030214,13,8477931,92,L
2024030214,13,8477932,5,D
2024030214,13,8477933,13,C
2024030214,13,8477935,9,C
2024030214,10,8477939,88,R
2024030214,13,8477970,41,G
2024030214,13,8478055,42,D
2024030214,13,8478421,10,L
2024030214,10,8478443,25,D
2024030214,10,8478483,16,R
2024030214,13,8478542,17,C
2024030214,13,8478859,77,D
2024030214,10,8478904,18,C
2024030214,13,8479314,19,L
2024030214,10,8479318,34,C
2024030214,10,8479361,60,G
2024030214,13,8479981,12,L
2024030214,13,8480185,27,C
2024030214,10,8480995,29,R
2024030214,10,8481122,2,D
2024030214,13,8482113,15,C
2024030214,10,8482259,74,C
2024030214,10,8482720,23,L
2024030215,13,8473419,63,L
2024030215,10,8474157,67,L
2024030215,10,8475166,91,C
2024030215,10,8475171,95,D
2024030215,13,8475179,7,D
2024030215,13,8475683,72,G
2024030215,10,8475690,8,D
2024030215,10,8476853,44,D
2024030215,10,8476872,24,C
2024030215,10,8476899,30,G
2024030215,10,8476931,22,D
2024030215,13,8477220,88,D
2024030215,13,8477409,23,C
2024030215,13,8477493,16,C
2024030215,13,8477495,3,D
2024030215,10,8477503,11,C
2024030215,13,8477931,92,L
2024030215,13,8477932,5,D
2024030215,13,8477933,13,C
2024030215,13,8477935,9,C
2024030215,10,8477939,88,R
2024030215,13,8477970,41,G
2024030215,13,8478055,42,D
2024030215,13,8478421,10,L
2024030215,10,8478443,25,D
2024030215,10,8478483,16,R
2024030215,13,8478859,77,D
2024030215,10,8478904,18,C
2024030215,13,8479314,19,L
2024030215,10,8479318,34,C
2024030215,10,8479361,60,G
2024030215,13,8479981,12,L
2024030215,13,8480003,70,C
2024030215,10,8480144,64,C
2024030215,13,8480185,27,C
2024030215,10,8481122,2,D
2024030215,10,8481582,89,L
2024030215,13,8482113,15,C
2024030215,10,8482259,74,C
2024030215,10,8482720,23,L
2024030216,13,8473419,63,L
2024030216,10,8474157,67,L
2024030216,10,8475166,91,C
2024030216,10,8475171,95,D
2024030216,13,8475179,7,D
2024030216,13,8475683,72,G
2024030216,10,8475690,8,D
2024030216,10,8475714,19,C
2024030216,10,8476853,44,D
2024030216,10,8476872,24,C
2024030216,10,8476899,30,G
2024030216,10,8476931,22,D
2024030216,13,8477220,88,D
2024030216,13,8477409,23,C
2024030216,13,8477493,16,C
2024030216,13,8477495,3,D
2024030216,10,8477503,11,C
2024030216,13,8477931,92,L
2024030216,13,8477932,5,D
2024030216,13,8477933,13,C
2024030216,13,8477935,9,C
2024030216,10,8477939,88,R
2024030216,13,8477970,41,G
2024030216,13,8478055,42,D
2024030216,13,8478421,10,L
2024030216,10,8478443,25,D
2024030216,10,8478483,16,R
2024030216,13,8478859,77,D
2024030216,10,8478904,18,C
2024030216,13,8479314,19,L
2024030216,10,8479318,34,C
2024030216,10,8479361,60,G
2024030216,13,8479981,12,L
2024030216,13,8480003,70,C
2024030216,13,8480185,27,C
2024030216,10,8480995,29,R
2024030216,10,8481122,2,D
2024030216,13,8482113,15,C
2024030216,10,8482259,74,C
2024030216,10,8482720,23,L
2024030217,13,8473419,63,L
2024030217,10,8474157,67,L
2024030217,10,8475166,91,C
2024030217,10,8475171,95,D
2024030217,13,8475179,7,D
2024030217,13,8475683,72,G
2024030217,10,8475690,8,D
2024030217,10,8475714,19,C
2024030217,10,8476853,44,D
2024030217,10,8476872,24,C
2024030217,10,8476931,22,D
2024030217,10,8476932,41,G
2024030217,13,8477220,88,D
2024030217,13,8477409,23,C
2024030217,13,8477493,16,C
2024030217,13,8477495,3,D
2024030217,10,8477503,11,C
2024030217,13,8477931,92,L
2024030217,13,8477932,5,D
2024030217,13,8477933,13,C
2024030217,13,8477935,9,C
2024030217,10,8477939,88,R
2024030217,13,8477970,41,G
2024030217,13,8478055,42,D
2024030217,13,8478421,10,L
2024030217,10,8478443,25,D
2024030217,10,8478483,16,R
2024030217,13,8478542,17,C
2024030217,13,8478859,77,D
2024030217,10,8478904,18,C
2024030217,13,8479314,19,L
2024030217,10,8479318,34,C
2024030217,10,8479361,60,G
2024030217,13,8479981,12,L
2024030217,13,8480185,27,C
2024030217,10,8480995,29,R
2024030217,10,8481122,2,D
2024030217,13,8482113,15,C
2024030217,10,8482259,74,C
2024030217,10,8482720,23,L
2024030221,12,8470613,8,D
2024030221,15,8471214,8,L
2024030221,12,8473533,11,C
2024030221,15,8474189,20,C
2024030221,15,8474590,74,D
2024030221,12,8475200,7,D
2024030221,15,8475343,26,C
2024030221,12,8475791,71,L
2024030221,12,8475883,31,G
2024030221,12,8476873,77,L
2024030221,15,8476880,43,R
2024030221,12,8476906,4,D
2024030221,12,8476921,48,L
2024030221,12,8476958,74,D
2024030221,12,8477478,28,L
2024030221,15,8477845,57,D
2024030221,15,8478233,88,L
2024030221,12,8478427,20,C
2024030221,15,8478440,17,C
2024030221,15,8478463,72,L
2024030221,15,8478911,3,D
2024030221,12,8478970,5,D
2024030221,15,8479292,79,G
2024030221,15,8479345,6,D
2024030221,15,8479400,80,L
2024030221,15,8479520,22,R
2024030221,15,8480313,48,G
2024030221,12,8480336,26,D
2024030221,12,8480762,50,L
2024030221,15,8480823,27,D
2024030221,12,8480829,82,C
2024030221,12,8480830,37,R
2024030221,15,8480873,38,D
2024030221,15,8481580,24,C
2024030221,12,8481611,52,G
2024030221,15,8481656,21,C
2024030221,12,8482093,24,C
2024030221,12,8482702,22,C
2024030221,12,8482809,53,R
2024030221,15,8484186,9,R
2024030222,12,8470613,8,D
2024030222,15,8471214,8,L
2024030222,12,8473533,11,C
2024030222,15,8474189,20,C
2024030222,15,8474590,74,D
2024030222,12,8475200,7,D
2024030222,15,8475343,26,C
2024030222,12,8475791,71,L
2024030222,12,8475883,31,G
2024030222,15,8476880,43,R
2024030222,12,8476906,4,D
2024030222,12,8476921,48,L
2024030222,12,8476958,74,D
2024030222,12,8477478,28,L
2024030222,15,8477845,57,D
2024030222,15,8478233,88,L
2024030222,12,8478427,20,C
2024030222,15,8478440,17,C
2024030222,12,8478458,96,C
2024030222,15,8478463,72,L
2024030222,15,8478911,3,D
2024030222,12,8478970,5,D
2024030222,15,8479345,6,D
2024030222,15,8479390,16,R
2024030222,15,8479400,80,L
2024030222,15,8479520,22,R
2024030222,15,8480313,48,G
2024030222,12,8480336,26,D
2024030222,12,8480762,50,L
2024030222,15,8480823,27,D
2024030222,12,8480829,82,C
2024030222,12,8480830,37,R
2024030222,15,8480873,38,D
2024030222,15,8481064,78,G
2024030222,15,8481580,24,C
2024030222,12,8481611,52,G
2024030222,15,8481656,21,C
2024030222,12,8482093,24,C
2024030222,12,8482702,22,C
2024030222,12,8482809,53,R
2024030223,12,8470613,8,D
2024030223,15,8471214,8,L
2024030223,12,8473533,11,C
2024030223,15,8474189,20,C
2024030223,15,8474590,74,D
2024030223,12,8475200,7,D
2024030223,15,8475343,26,C
2024030223,12,8475791,71,L
2024030223,12,8475883,31,G
2024030223,15,8476880,43,R
2024030223,12,8476906,4,D
2024030223,12,8476921,48,L
2024030223,12,8476958,74,D
2024030223,12,8477478,28,L
2024030223,15,8477845,57,D
2024030223,15,8478233,88,L
2024030223,12,8478427,20,C
2024030223,15,8478440,17,C
2024030223,12,8478458,96,C
2024030223,15,8478463,72,L
2024030223,15,8478911,3,D
2024030223,12,8478970,5,D
2024030223,15,8479292,79,G
2024030223,15,8479345,6,D
2024030223,15,8479390,16,R
2024030223,15,8479400,80,L
2024030223,15,8479520,22,R
2024030223,15,8480313,48,G
2024030223,12,8480336,26,D
2024030223,12,8480762,50,L
2024030223,15,8480823,27,D
2024030223,12,8480829,82,C
2024030223,12,8480830,37,R
2024030223,15,8480873,38,D
2024030223,15,8481580,24,C
2024030223,12,8481611,52,G
2024030223,15,8481656,21,C
2024030223,12,8482093,24,C
2024030223,12,8482702,22,C
2024030223,12,8482809,53,R
2024030224,12,8470613,8,D
2024030224,15,8471214,8,L
2024030224,12,8473533,11,C
2024030224,15,8474189,20,C
2024030224,15,8474590,74,D
2024030224,12,8475200,7,D
2024030224,15,8475343,26,C
2024030224,12,8475791,71,L
2024030224,12,8475883,31,G
2024030224,15,8476880,43,R
2024030224,12,8476906,4,D
2024030224,12,8476921,48,L
2024030224,12,8476958,74,D
2024030224,12,8477478,28,L
2024030224,15,8477845,57,D
2024030224,15,8478233,88,L
2024030224,12,8478427,20,C
2024030224,15,8478440,17,C
2024030224,12,8478458,96,C
2024030224,15,8478463,72,L
2024030224,15,8478911,3,D
2024030224,12,8478970,5,D
2024030224,15,8479292,79,G
2024030224,15,8479345,6,D
2024030224,15,8479400,80,L
2024030224,15,8479520,22,R
2024030224,15,8480313,48,G
2024030224,12,8480336,26,D
2024030224,12,8480762,50,L
2024030224,15,8480823,27,D
2024030224,12,8480829,82,C
2024030224,12,8480830,37,R
2024030224,15,8480873,38,D
2024030224,15,8481580,24,C
2024030224,12,8481611,52,G
2024030224,15,8481656,21,C
2024030224,12,8482093,24,C
2024030224,12,8482702,22,C
2024030224,12,8482809,53,R
2024030224,15,8484186,9,R
2024030225,12,8470613,8,D
2024030225,15,8471214,8,L
2024030225,12,8473533,11,C
2024030225,15,8474590,74,D
2024030225,12,8475200,7,D
2024030225,15,8475343,26,C
2024030225,12,8475791,71,L
2024030225,12,8475883,31,G
2024030225,15,8476880,43,R
2024030225,12,8476906,4,D
2024030225,12,8476921,48,L
2024030225,12,8476958,74,D
2024030225,12,8477478,28,L
2024030225,15,8477845,57,D
2024030225,15,8478233,88,L
2024030225,12,8478427,20,C
2024030225,15,8478440,17,C
2024030225,12,8478458,96,C
2024030225,15,8478463,72,L
2024030225,15,8478911,3,D
2024030225,15,8479292,79,G
2024030225,15,8479345,6,D
2024030225,15,8479390,16,R
2024030225,15,8479400,80,L
2024030225,15,8479520,22,R
2024030225,15,8480313,48,G
2024030225,12,8480336,26,D
2024030225,12,8480762,50,L
2024030225,15,8480823,27,D
2024030225,12,8480829,82,C
2024030225,12,8480830,37,R
2024030225,15,8480873,38,D
2024030225,15,8481580,24,C
2024030225,12,8481611,52,G
2024030225,15,8481656,21,C
2024030225,12,8482093,24,C
2024030225,12,8482100,21,D
2024030225,12,8482702,22,C
2024030225,12,8482809,53,R
2024030225,15,8484186,9,R
2024030231,25,8473994,14,L
2024030231,25,8474149,63,R
2024030231,52,8474568,5,D
2024030231,25,8475168,95,C
2024030231,25,8475755,28,D
2024030231,25,8475794,91,C
2024030231,25,8475798,64,C
2024030231,52,8475799,62,R
2024030231,52,8476331,2,D
2024030231,52,8476392,17,C
2024030231,52,8476460,55,C
2024030231,52,8476480,7,C
2024030231,52,8476525,6,D
2024030231,25,8476879,44,D
2024030231,25,8476902,23,D
2024030231,52,8476945,37,G
2024030231,52,8477480,1,G
2024030231,52,8477938,24,D
2024030231,52,8477940,27,L
2024030231,52,8478398,81,L
2024030231,25,8478420,96,R
2024030231,25,8478449,24,C
2024030231,52,8478891,22,C
2024030231,25,8478975,27,L
2024030231,25,8479193,1,G
2024030231,52,8479293,73,L
2024030231,25,8479351,18,C
2024030231,25,8479979,29,G
2024030231,52,8480014,13,C
2024030231,25,8480027,21,L
2024030231,52,8480049,54,D
2024030231,52,8480113,9,L
2024030231,52,8480145,4,D
2024030231,52,8480289,36,C
2024030231,25,8480840,10,C
2024030231,25,8480950,46,D
2024030231,25,8481581,55,D
2024030231,52,8482149,91,C
2024030231,25,8482740,53,C
2024030231,25,8483425,6,D
2024030232,25,8473994,14,L
2024030232,25,8474149,63,R
2024030232,25,8475168,95,C
2024030232,25,8475755,28,D
2024030232,25,8475794,91,C
2024030232,25,8475798,64,C
2024030232,52,8475799,62,R
2024030232,52,8476331,2,D
2024030232,52,8476392,17,C
2024030232,52,8476460,55,C
2024030232,52,8476480,7,C
