Date,Team,Player,Transaction Details
"Feb 5, 2025",Tampa Bay Lightning,Conor Sheary,Recalled from AHL
"Feb 5, 2025",Vancouver Canucks,Marcus Pettersson,Signed 6 years @ $5.500M AAV starting in 2025-26
"Feb 5, 2025",Detroit Red Wings,Dominik Shine,Assigned to AHL
"Feb 5, 2025",Pittsburgh Penguins,Jesse Puljujarvi,Assigned to AHL
"Feb 5, 2025",Vancouver Canucks,Nils Aman,Recalled from AHL
"Feb 5, 2025",Vancouver Canucks,Linus Karlsson,Assigned to AHL
"Feb 5, 2025",Minnesota Wild,Vinnie Hinostroza,Claimed on Waivers from Nashville Predators
"Feb 5, 2025",Nashville Predators,Vinnie Hinostroza,Lost on Waivers to Minnesota Wild
"Feb 5, 2025",Calgary Flames,Ilya Solovyov,Recalled from AHL
"Feb 4, 2025",St. Louis Blues,Nick Leddy,Activated from IR
"Feb 4, 2025",New York Islanders,Mathew Barzal,Placed on IR
"Feb 4, 2025",New Jersey Devils,Erik Haula,Activated from IR
"Feb 4, 2025",Columbus Blue Jackets,Dylan Gambrell,Assigned to AHL
"Feb 4, 2025",Buffalo Sabres,Felix Sandstrom,Recalled from AHL
"Feb 4, 2025",Philadelphia Flyers,Nicolas Deslauriers,Activated from IR
"Feb 4, 2025",Utah Hockey Club,Dylan Guenther,Activated from IR
"Feb 4, 2025",New York Rangers,Adam Edstrom,Placed on IR
"Feb 4, 2025",Toronto Maple Leafs,Dakota Mermis,Assigned to AHL
"Feb 4, 2025",Boston Bruins,Mark Kastelic,Activated from IR
"Feb 4, 2025",Boston Bruins,Vinni Lettieri,Assigned to AHL
"Feb 4, 2025",Vancouver Canucks,Linus Karlsson,Recalled from AHL
"Feb 4, 2025",Vancouver Canucks,Victor Mancini,Recalled from AHL
"Feb 4, 2025",Vancouver Canucks,Elias Pettersson,Recalled from AHL
"Feb 4, 2025",Nashville Predators,Vinnie Hinostroza,Placed on Waivers
"Feb 4, 2025",Tampa Bay Lightning,Conor Geekie,Assigned to AHL
"Feb 4, 2025",San Jose Sharks,Andrew Poturalski,Recalled from AHL
"Feb 4, 2025",Minnesota Wild,Marcus Johansson,Activated from IR
"Feb 4, 2025",Minnesota Wild,Jonas Brodin,Activated from LTIR
"Feb 4, 2025",Minnesota Wild,Ben Jones,Assigned to AHL
"Feb 3, 2025",Columbus Blue Jackets,Dylan Gambrell,Recalled from AHL
"Feb 3, 2025",Toronto Maple Leafs,Dakota Mermis,Recalled from AHL
"Feb 3, 2025",Toronto Maple Leafs,Fraser Minten,Assigned to AHL
"Feb 3, 2025",Vegas Golden Knights,Alexander Holtz,Recalled from AHL
"Feb 3, 2025",Minnesota Wild,Ryan Hartman,Suspension Started
"Feb 3, 2025",Seattle Kraken,Gustav Olofsson,Assigned to AHL
"Feb 3, 2025",Buffalo Sabres,Isak Rosen,Recalled from AHL
"Feb 3, 2025",Buffalo Sabres,Tyson Kozak,Placed on IR
"Feb 3, 2025",Carolina Hurricanes,Riley Stillman,Assigned to AHL
"Feb 3, 2025",Carolina Hurricanes,Scott Morrow,Recalled from AHL
"Feb 3, 2025",Nashville Predators,Kevin Gravel,Recalled from AHL
"Feb 3, 2025",Vancouver Canucks,Elias Pettersson,Assigned to AHL
"Feb 3, 2025",Vancouver Canucks,Victor Mancini,Assigned to AHL
"Feb 3, 2025",Vancouver Canucks,Linus Karlsson,Assigned to AHL
"Feb 3, 2025",Utah Hockey Club,Sammy Walker,Acquired from Minnesota Wild
"Feb 3, 2025",Minnesota Wild,Sammy Walker,Traded to Utah Hockey Club
"Feb 3, 2025",Columbus Blue Jackets,Kirill Marchenko,Placed on IR
"Feb 3, 2025",San Jose Sharks,Collin Graf,Recalled from AHL
"Feb 3, 2025",San Jose Sharks,Shakir Mukhamadullin,Recalled from AHL
"Feb 3, 2025",Colorado Avalanche,Oliver Kylington,Activated from IR
"Feb 3, 2025",Colorado Avalanche,Valeri Nichushkin,Placed on IR
"Feb 3, 2025",Chicago Blackhawks,Louis Crevier,Placed on IR
"Feb 3, 2025",Tampa Bay Lightning,Brandon Halverson,Signed 2 years @ $775K AAV starting in 2024-25
"Feb 3, 2025",Boston Bruins,Vinni Lettieri,Recalled from AHL
"Feb 3, 2025",Boston Bruins,Matthew Poitras,Recalled from AHL
"Feb 2, 2025",Winnipeg Jets,Parker Ford,Recalled from AHL
"Feb 2, 2025",Winnipeg Jets,Brad Lambert,Recalled from AHL
"Feb 2, 2025",Minnesota Wild,Kirill Kaprizov,Placed on LTIR
"Feb 2, 2025",Vegas Golden Knights,Alexander Holtz,Assigned to AHL
"Feb 2, 2025",Tampa Bay Lightning,Matt Tomkins,Assigned to AHL
"Feb 2, 2025",Vancouver Canucks,Phillip Di Giuseppe,Assigned to AHL
"Feb 2, 2025",Chicago Blackhawks,Artyom Levshunov,Recalled from AHL
"Feb 2, 2025",Ottawa Senators,Linus Ullmark,Activated from LTIR
"Feb 2, 2025",Ottawa Senators,Noah Gregor,Placed on LTIR
"Feb 2, 2025",Ottawa Senators,Jacob Bernard-Docker,Placed on LTIR
"Feb 2, 2025",Ottawa Senators,Leevi Meriläinen,Assigned to AHL
"Feb 2, 2025",Vancouver Canucks,Kiefer Sherwood,Activated from IR
"Feb 2, 2025",Carolina Hurricanes,Ryan Suzuki,Assigned to AHL
"Feb 2, 2025",Ottawa Senators,Cole Reinhardt,Recalled from AHL
"Feb 2, 2025",Carolina Hurricanes,Riley Stillman,Recalled from AHL
"Feb 2, 2025",Colorado Avalanche,Trent Miner,Recalled from AHL
"Feb 2, 2025",Boston Bruins,Matthew Poitras,Assigned to AHL
"Feb 2, 2025",Dallas Stars,Christian Kyrou,Assigned to AHL
"Feb 2, 2025",Dallas Stars,Kyle McDonald,Assigned to AHL
