Date,Team,Player,Transaction Details
"Oct 5, 2024",Colorado Avalanche,Chris Wagner,Placed on Waivers
"Oct 5, 2024",Carolina Hurricanes,T.J. Tynan,Placed on Waivers
"Oct 5, 2024",Colorado Avalanche,John Ludvig,Claimed on Waivers from Pittsburgh Penguins
"Oct 5, 2024",Boston Bruins,Ryan Bischel,Recalled from AHL
"Oct 5, 2024",Boston Bruins,Jaxon Nelson,Recalled from AHL
"Oct 5, 2024",Boston Bruins,Georgii Merkulov,Recalled from AHL
"Oct 5, 2024",Boston Bruins,Vinni Lettieri,Cleared Waivers
"Oct 5, 2024",Boston Bruins,Jordan Oesterle,Cleared Waivers
"Oct 5, 2024",Boston Bruins,Michael DiPietro,Cleared Waivers
"Oct 5, 2024",Boston Bruins,Jackson Edward,Recalled from AHL
"Oct 5, 2024",Boston Bruins,Michael Callahan,Recalled from AHL
"Oct 5, 2024",Boston Bruins,Brett Harrison,Recalled from AHL
"Oct 5, 2024",Boston Bruins,Riley Duran,Recalled from AHL
"Oct 5, 2024",Anaheim Ducks,Oscar Dansk,Placed on Waivers
"Oct 5, 2024",Anaheim Ducks,Jansen Harkins,Assigned to AHL
"Oct 5, 2024",Anaheim Ducks,Jansen Harkins,Cleared Waivers
"Oct 4, 2024",Vegas Golden Knights,Tanner Pearson,Signed 1 year @ $775K AAV starting in 2024-25
"Oct 4, 2024",Florida Panthers,Rasmus Asplund,Assigned to AHL
"Oct 4, 2024",Calgary Flames,Jarred Tinordi,Assigned to AHL
"Oct 4, 2024",Calgary Flames,Walker Duehr,Assigned to AHL
"Oct 4, 2024",Calgary Flames,Dryden Hunt,Assigned to AHL
"Oct 4, 2024",Winnipeg Jets,Axel Jonsson-Fjallby,Assigned to AHL
"Oct 4, 2024",Winnipeg Jets,Dominic Toninato,Assigned to AHL
"Oct 4, 2024",Winnipeg Jets,Mason Shaw,Assigned to AHL
"Oct 4, 2024",Winnipeg Jets,Simon Lundmark,Assigned to AHL
"Oct 4, 2024",Winnipeg Jets,Dominic Toninato,Cleared Waivers
"Oct 4, 2024",Winnipeg Jets,Mason Shaw,Placed on Waivers
"Oct 4, 2024",Winnipeg Jets,Axel Jonsson-Fjallby,Cleared Waivers
"Oct 4, 2024",Winnipeg Jets,Simon Lundmark,Cleared Waivers
"Oct 4, 2024",Washington Capitals,Luke Philp,Placed on Waivers
"Oct 4, 2024",Washington Capitals,Ethan Bear,Placed on Waivers
"Oct 4, 2024",Washington Capitals,Michael Sgarbossa,Placed on Waivers
"Oct 4, 2024",Utah Hockey Club,Andrew Agozzino,Assigned to AHL
"Oct 4, 2024",Utah Hockey Club,Patrik Koch,Assigned to AHL
"Oct 4, 2024",Utah Hockey Club,Milos Kelemen,Assigned to AHL
"Oct 4, 2024",Utah Hockey Club,Ben McCartney,Assigned to AHL
"Oct 4, 2024",Utah Hockey Club,Ben McCartney,Cleared Waivers
"Oct 4, 2024",Utah Hockey Club,Patrik Koch,Cleared Waivers
"Oct 4, 2024",Utah Hockey Club,Andrew Agozzino,Cleared Waivers
"Oct 4, 2024",Toronto Maple Leafs,Artur Akhtyamov,Assigned to AHL
"Oct 4, 2024",Toronto Maple Leafs,Cade Webber,Assigned to AHL
"Oct 4, 2024",Toronto Maple Leafs,Nikita Grebenkin,Assigned to AHL
"Oct 4, 2024",Toronto Maple Leafs,Mikko Kokkonen,Assigned to AHL
"Oct 4, 2024",Toronto Maple Leafs,Roni Hirvonen,Assigned to AHL
"Oct 4, 2024",Toronto Maple Leafs,Nick Abruzzese,Assigned to AHL
"Oct 4, 2024",Toronto Maple Leafs,Alex Steeves,Placed on Waivers
"Oct 4, 2024",Toronto Maple Leafs,Jacob Quillan,Assigned to AHL
"Oct 4, 2024",Toronto Maple Leafs,Cedric Pare,Assigned to AHL
"Oct 4, 2024",Toronto Maple Leafs,Ryan Tverberg,Assigned to AHL
"Oct 4, 2024",Toronto Maple Leafs,Topi Niemela,Assigned to AHL
"Oct 4, 2024",Toronto Maple Leafs,Nicolas Mattinen,Assigned to AHL
"Oct 4, 2024",Toronto Maple Leafs,Nick Abruzzese,Cleared Waivers
"Oct 4, 2024",Tampa Bay Lightning,Gabriel Szturc,Recalled from AHL
"Oct 4, 2024",Tampa Bay Lightning,Matt Tomkins,Placed on Waivers
"Oct 4, 2024",St. Louis Blues,Mathias Laferriere,Recalled from AHL
"Oct 4, 2024",St. Louis Blues,Samuel Johannesson,Recalled from AHL
"Oct 4, 2024",St. Louis Blues,Hugh McGing,Recalled from AHL
"Oct 4, 2024",St. Louis Blues,Dalibor Dvorsky,Recalled from AHL
"Oct 4, 2024",St. Louis Blues,Aleksanteri Kaskimaki,Recalled from AHL
"Oct 4, 2024",St. Louis Blues,Dylan Peterson,Recalled from AHL
"Oct 4, 2024",St. Louis Blues,Hunter Skinner,Recalled from AHL
"Oct 4, 2024",St. Louis Blues,Mackenzie MacEachern,Recalled from AHL
"Oct 4, 2024",Seattle Kraken,Cale Fleury,Assigned to AHL
"Oct 4, 2024",Seattle Kraken,Cale Fleury,Cleared Waivers
"Oct 4, 2024",San Jose Sharks,Yaroslav Askarov,Assigned to AHL
"Oct 4, 2024",Pittsburgh Penguins,Jonathan Gruden,Placed on Waivers
"Oct 4, 2024",Pittsburgh Penguins,Nathan Clurman,Placed on Waivers
"Oct 4, 2024",Pittsburgh Penguins,Owen Pickering,Assigned to AHL
"Oct 4, 2024",Pittsburgh Penguins,Emil Bemstrom,Placed on Waivers
"Oct 4, 2024",Pittsburgh Penguins,Joona Koppanen,Placed on Waivers
"Oct 4, 2024",Pittsburgh Penguins,Tristan Broz,Assigned to AHL
"Oct 4, 2024",Pittsburgh Penguins,Ville Koivunen,Assigned to AHL
"Oct 4, 2024",Pittsburgh Penguins,Sam Poulin,Placed on Waivers
"Oct 4, 2024",Pittsburgh Penguins,John Ludvig,Placed on Waivers
"Oct 4, 2024",Pittsburgh Penguins,Matthew Andonovski,Assigned to AHL
"Oct 4, 2024",Pittsburgh Penguins,Filip Kral,Placed on Waivers
"Oct 4, 2024",Philadelphia Flyers,Adam Ginning,Assigned to AHL
"Oct 4, 2024",Philadelphia Flyers,Cal Petersen,Assigned to AHL
"Oct 4, 2024",Philadelphia Flyers,Oliver Bonk,Assigned to Junior Team
"Oct 4, 2024",Philadelphia Flyers,Denver Barkey,Assigned to Junior Team
"Oct 4, 2024",Philadelphia Flyers,Helge Grans,Assigned to AHL
"Oct 4, 2024",Philadelphia Flyers,Rodrigo Abols,Assigned to AHL
"Oct 4, 2024",Philadelphia Flyers,Hunter McDonald,Assigned to AHL
"Oct 4, 2024",Philadelphia Flyers,Emil Andrae,Assigned to AHL
"Oct 4, 2024",Philadelphia Flyers,Anthony Richard,Placed on Waivers
"Oct 4, 2024",Philadelphia Flyers,Samu Tuomaala,Assigned to AHL
"Oct 4, 2024",Philadelphia Flyers,Aleksei Kolosov,Assigned to AHL
"Oct 4, 2024",Philadelphia Flyers,Olle Lycksell,Placed on Waivers
"Oct 4, 2024",Ottawa Senators,Hayden Hodgson,Assigned to AHL
"Oct 4, 2024",Ottawa Senators,Mads Sogaard,Assigned to AHL
"Oct 4, 2024",New York Rangers,Hugo Ollas,Assigned to AHL
"Oct 4, 2024",New Jersey Devils,Brian Halonen,Assigned to AHL
"Oct 4, 2024",New Jersey Devils,Samuel Laberge,Placed on Waivers
"Oct 4, 2024",New Jersey Devils,Matyas Melovsky,Assigned to Junior Team
"Oct 4, 2024",New Jersey Devils,Nathan Légaré,Placed on Waivers
"Oct 4, 2024",New Jersey Devils,Max Graham,Assigned to Junior Team
"Oct 4, 2024",New Jersey Devils,Ryan Schmelzer,Assigned to AHL
"Oct 4, 2024",New Jersey Devils,Chase Stillman,Assigned to AHL
"Oct 4, 2024",New Jersey Devils,Max Willman,Placed on Waivers
"Oct 4, 2024",New Jersey Devils,Mikael Diotte,Assigned to AHL
"Oct 4, 2024",New Jersey Devils,Mike Hardman,Placed on Waivers
"Oct 4, 2024",New Jersey Devils,Justin Dowling,Placed on Waivers
"Oct 4, 2024",New Jersey Devils,Cam Squires,Assigned to Junior Team
"Oct 4, 2024",New Jersey Devils,Daniil Misyul,Assigned to AHL
"Oct 4, 2024",New Jersey Devils,Isaac Poulter,Assigned to AHL
"Oct 4, 2024",Nashville Predators,Nick Blankenburg,Assigned to AHL
"Oct 4, 2024",Nashville Predators,Nick Blankenburg,Cleared Waivers
"Oct 4, 2024",Los Angeles Kings,Taylor Ward,Placed on Waivers
"Oct 4, 2024",Los Angeles Kings,Cole Krygier,Assigned to AHL
"Oct 4, 2024",Florida Panthers,Mikulas Hovorka,Assigned to AHL
"Oct 4, 2024",Florida Panthers,Zac Dalpe,Assigned to AHL
"Oct 4, 2024",Florida Panthers,Jaycob Megna,Assigned to AHL
"Oct 4, 2024",Florida Panthers,Cooper Black,Assigned to AHL
"Oct 4, 2024",Florida Panthers,Josh Davies,Assigned to AHL
"Oct 4, 2024",Florida Panthers,Kai Schwindt,Assigned to AHL
"Oct 4, 2024",Florida Panthers,Tobias Bjornfot,Assigned to AHL
"Oct 4, 2024",Florida Panthers,William Lockwood,Placed on Waivers
"Oct 4, 2024",Florida Panthers,Tobias Bjornfot,Cleared Waivers
"Oct 4, 2024",Florida Panthers,Rasmus Asplund,Cleared Waivers
"Oct 4, 2024",Florida Panthers,Zac Dalpe,Cleared Waivers
"Oct 4, 2024",Florida Panthers,Jaycob Megna,Cleared Waivers
"Oct 4, 2024",Columbus Blue Jackets,Stanislav Svozil,Recalled from AHL
"Oct 4, 2024",Columbus Blue Jackets,Hunter McKown,Recalled from AHL
"Oct 4, 2024",Columbus Blue Jackets,James Malatesta,Recalled from AHL
"Oct 4, 2024",Columbus Blue Jackets,Luca Del Bel Belluz,Recalled from AHL
"Oct 4, 2024",Columbus Blue Jackets,Cole Clayton,Recalled from AHL
"Oct 4, 2024",Chicago Blackhawks,Artyom Levshunov,Placed on SOIR
"Oct 4, 2024",Calgary Flames,Jarred Tinordi,Cleared Waivers
"Oct 4, 2024",Calgary Flames,Walker Duehr,Cleared Waivers
"Oct 4, 2024",Calgary Flames,Dryden Hunt,Cleared Waivers
"Oct 4, 2024",Buffalo Sabres,Ryan Johnson,Assigned to AHL
"Oct 4, 2024",Boston Bruins,Michael DiPietro,Placed on Waivers
"Oct 4, 2024",Boston Bruins,Jordan Oesterle,Placed on Waivers
"Oct 4, 2024",Boston Bruins,Vinni Lettieri,Placed on Waivers
"Oct 4, 2024",Anaheim Ducks,Beckett Sennecke,Assigned to Junior Team
"Oct 4, 2024",Anaheim Ducks,Nikita Nesterenko,Assigned to AHL
"Oct 4, 2024",Anaheim Ducks,Nathan Gaucher,Assigned to AHL
"Oct 4, 2024",Anaheim Ducks,Sam Colangelo,Assigned to AHL
"Oct 4, 2024",Anaheim Ducks,Jansen Harkins,Placed on Waivers
"Oct 4, 2024",Chicago Blackhawks,Wyatt Kaiser,Placed on SOIR
"Oct 4, 2024",Chicago Blackhawks,Laurent Brossoit,Placed on IR
"Oct 4, 2024",Columbus Blue Jackets,Dmitri Voronkov,Placed on IR
"Oct 3, 2024",Calgary Flames,Tyson Barrie,Signed 1 year @ $1.250M AAV starting in 2024-25
"Oct 3, 2024",Columbus Blue Jackets,Trey Fix-Wolansky,Assigned to AHL
"Oct 3, 2024",Winnipeg Jets,Dmitry Kuzmin,Assigned to AHL
"Oct 3, 2024",Winnipeg Jets,Dominic Toninato,Placed on Waivers
"Oct 3, 2024",Winnipeg Jets,Mason Shaw,Placed on Waivers
"Oct 3, 2024",Winnipeg Jets,Axel Jonsson-Fjallby,Placed on Waivers
"Oct 3, 2024",Winnipeg Jets,Tyrel Bauer,Assigned to AHL
"Oct 3, 2024",Winnipeg Jets,Simon Lundmark,Placed on Waivers
"Oct 3, 2024",Winnipeg Jets,Thomas Milic,Assigned to AHL
"Oct 3, 2024",Utah Hockey Club,Ben McCartney,Placed on Waivers
"Oct 3, 2024",Utah Hockey Club,Patrik Koch,Placed on Waivers
"Oct 3, 2024",Utah Hockey Club,Aku Raty,Assigned to AHL
"Oct 3, 2024",Utah Hockey Club,Maksymilian Szuber,Assigned to AHL
"Oct 3, 2024",Utah Hockey Club,Andrew Agozzino,Placed on Waivers
"Oct 3, 2024",Utah Hockey Club,Maveric Lamoureux,Assigned to AHL
"Oct 3, 2024",Toronto Maple Leafs,Braeden Kressler,Assigned to AHL
"Oct 3, 2024",Toronto Maple Leafs,Brandon Lisowsky,Assigned to AHL
"Oct 3, 2024",Toronto Maple Leafs,Vyacheslav Peksa,Assigned to AHL
"Oct 3, 2024",Toronto Maple Leafs,Nick Abruzzese,Placed on Waivers
"Oct 3, 2024",Toronto Maple Leafs,William Villeneuve,Assigned to AHL
"Oct 3, 2024",Toronto Maple Leafs,Ty Voit,Assigned to AHL
"Oct 3, 2024",Toronto Maple Leafs,Dennis Hildeby,Assigned to AHL
"Oct 3, 2024",Tampa Bay Lightning,Conor Geekie,Suspension Started
"Oct 3, 2024",Seattle Kraken,Cale Fleury,Placed on Waivers
"Oct 3, 2024",San Jose Sharks,Andrew Poturalski,Assigned to AHL
"Oct 3, 2024",San Jose Sharks,Scott Sabourin,Assigned to AHL
"Oct 3, 2024",San Jose Sharks,Andrew Poturalski,Cleared Waivers
"Oct 3, 2024",San Jose Sharks,Scott Sabourin,Cleared Waivers
"Oct 3, 2024",Pittsburgh Penguins,Jimmy Huntington,Assigned to AHL
"Oct 3, 2024",Pittsburgh Penguins,Marc Johnstone,Assigned to AHL
"Oct 3, 2024",Pittsburgh Penguins,Mac Hollowell,Assigned to AHL
"Oct 3, 2024",Pittsburgh Penguins,Jimmy Huntington,Cleared Waivers
"Oct 3, 2024",Pittsburgh Penguins,Mac Hollowell,Cleared Waivers
"Oct 3, 2024",Pittsburgh Penguins,Marc Johnstone,Cleared Waivers
"Oct 3, 2024",Philadelphia Flyers,Cal Petersen,Cleared Waivers
"Oct 3, 2024",Ottawa Senators,Hayden Hodgson,Recalled from AHL
"Oct 3, 2024",Ottawa Senators,Stephen Halliday,Recalled from AHL
"Oct 3, 2024",Ottawa Senators,Filip Roos,Recalled from AHL
"Oct 3, 2024",Ottawa Senators,Cole Reinhardt,Recalled from AHL
"Oct 3, 2024",Ottawa Senators,Donovan Sebrango,Recalled from AHL
"Oct 3, 2024",Ottawa Senators,Tyler Boucher,Recalled from AHL
"Oct 3, 2024",Ottawa Senators,Angus Crookshank,Recalled from AHL
"Oct 3, 2024",New York Rangers,Bo Groulx,Assigned to AHL
"Oct 3, 2024",New York Rangers,Bo Groulx,Cleared Waivers
"Oct 3, 2024",Nashville Predators,Zachary L'Heureux,Assigned to AHL
"Oct 3, 2024",Nashville Predators,Ozzy Wiesblatt,Assigned to AHL
"Oct 3, 2024",Nashville Predators,Adam Wilsby,Assigned to AHL
"Oct 3, 2024",Nashville Predators,Nick Blankenburg,Placed on Waivers
"Oct 3, 2024",Florida Panthers,Tobias Bjornfot,Placed on Waivers
"Oct 3, 2024",Florida Panthers,Rasmus Asplund,Placed on Waivers
"Oct 3, 2024",Florida Panthers,Zac Dalpe,Placed on Waivers
"Oct 3, 2024",Florida Panthers,Jaycob Megna,Placed on Waivers
"Oct 3, 2024",Columbus Blue Jackets,Ole Julian Bjorgvik-Holm,Assigned to AHL
"Oct 3, 2024",Columbus Blue Jackets,Trey Fix-Wolansky,Cleared Waivers
"Oct 3, 2024",Colorado Avalanche,Calle Rosen,Assigned to AHL
"Oct 3, 2024",Colorado Avalanche,Calle Rosen,Cleared Waivers
"Oct 3, 2024",Colorado Avalanche,Matthew Phillips,Assigned to AHL
"Oct 3, 2024",Colorado Avalanche,Matthew Phillips,Cleared Waivers
"Oct 3, 2024",Colorado Avalanche,Jack Ahcan,Assigned to AHL
"Oct 3, 2024",Colorado Avalanche,Jack Ahcan,Cleared Waivers
"Oct 3, 2024",Carolina Hurricanes,Spencer Martin,Cleared Waivers
"Oct 3, 2024",Calgary Flames,Jarred Tinordi,Placed on Waivers
"Oct 3, 2024",Calgary Flames,Walker Duehr,Placed on Waivers
"Oct 3, 2024",Calgary Flames,Dryden Hunt,Placed on Waivers
"Oct 3, 2024",Calgary Flames,Jonathan Aspirot,Assigned to AHL
"Oct 3, 2024",Calgary Flames,Clark Bishop,Assigned to AHL
"Oct 3, 2024",Boston Bruins,Fabian Lysell,Recalled from AHL
"Oct 2, 2024",Calgary Flames,Ilya Solovyov,Assigned to AHL
"Oct 2, 2024",Buffalo Sabres,Colton Poolman,Assigned to AHL
"Oct 2, 2024",Buffalo Sabres,Mason Jobst,Assigned to AHL
"Oct 2, 2024",Buffalo Sabres,Brett Murray,Assigned to AHL
"Oct 2, 2024",Buffalo Sabres,Felix Sandstrom,Assigned to AHL
"Oct 2, 2024",Buffalo Sabres,Josh Dunne,Assigned to AHL
"Oct 2, 2024",Buffalo Sabres,Jack Rathbone,Assigned to AHL
"Oct 2, 2024",Vegas Golden Knights,Akira Schmid,Assigned to AHL
"Oct 2, 2024",Vancouver Canucks,Cole McWard,Assigned to AHL
"Oct 2, 2024",Vancouver Canucks,Nate Smith,Assigned to AHL
"Oct 2, 2024",Vancouver Canucks,Phillip Di Giuseppe,Assigned to AHL
"Oct 2, 2024",Vancouver Canucks,Christian Wolanin,Assigned to AHL
"Oct 2, 2024",Vancouver Canucks,Jiri Patera,Lost on Waivers to Boston Bruins
"Oct 2, 2024",Vancouver Canucks,Nate Smith,Cleared Waivers
"Oct 2, 2024",Vancouver Canucks,Cole McWard,Cleared Waivers
"Oct 2, 2024",Vancouver Canucks,Christian Wolanin,Cleared Waivers
"Oct 2, 2024",Vancouver Canucks,Phillip Di Giuseppe,Cleared Waivers
"Oct 2, 2024",Utah Hockey Club,Tij Iginla,Assigned to Junior Team
"Oct 2, 2024",Tampa Bay Lightning,Dylan Duke,Recalled from AHL
"Oct 2, 2024",Seattle Kraken,Max McCormick,Assigned to AHL
"Oct 2, 2024",Seattle Kraken,Gustav Olofsson,Assigned to AHL
"Oct 2, 2024",Seattle Kraken,Mitchell Stephens,Assigned to AHL
"Oct 2, 2024",Seattle Kraken,Brandon Biro,Assigned to AHL
"Oct 2, 2024",Seattle Kraken,Ales Stezka,Assigned to AHL
"Oct 2, 2024",Seattle Kraken,Ben Meyers,Assigned to AHL
"Oct 2, 2024",Seattle Kraken,Brandon Biro,Cleared Waivers
"Oct 2, 2024",Seattle Kraken,Mitchell Stephens,Cleared Waivers
"Oct 2, 2024",Seattle Kraken,Ben Meyers,Cleared Waivers
"Oct 2, 2024",Seattle Kraken,Ales Stezka,Cleared Waivers
"Oct 2, 2024",Seattle Kraken,Max McCormick,Cleared Waivers
"Oct 2, 2024",Seattle Kraken,Gustav Olofsson,Cleared Waivers
"Oct 2, 2024",San Jose Sharks,Andrew Poturalski,Placed on Waivers
"Oct 2, 2024",San Jose Sharks,Scott Sabourin,Placed on Waivers
"Oct 2, 2024",Pittsburgh Penguins,Jimmy Huntington,Placed on Waivers
"Oct 2, 2024",Pittsburgh Penguins,Mac Hollowell,Placed on Waivers
"Oct 2, 2024",Pittsburgh Penguins,Marc Johnstone,Placed on Waivers
"Oct 2, 2024",Philadelphia Flyers,Cal Petersen,Placed on Waivers
"Oct 2, 2024",New York Rangers,Brandon Scanlin,Assigned to AHL
"Oct 2, 2024",New York Rangers,Anton Blidh,Assigned to AHL
"Oct 2, 2024",New York Rangers,Bo Groulx,Placed on Waivers
"Oct 2, 2024",New York Rangers,Casey Fitzgerald,Assigned to AHL
"Oct 2, 2024",New York Rangers,Dylan Garand,Assigned to AHL
"Oct 2, 2024",New York Rangers,Louis Domingue,Assigned to AHL
"Oct 2, 2024",New York Rangers,Brandon Scanlin,Cleared Waivers
"Oct 2, 2024",New York Rangers,Casey Fitzgerald,Cleared Waivers
"Oct 2, 2024",New York Rangers,Louis Domingue,Cleared Waivers
"Oct 2, 2024",New York Rangers,Anton Blidh,Cleared Waivers
"Oct 2, 2024",New Jersey Devils,Dylan Wendt,Assigned to AHL
"Oct 2, 2024",New Jersey Devils,Tyler Brennan,Assigned to AHL
"Oct 2, 2024",Montreal Canadiens,Lucas Condotta,Assigned to AHL
"Oct 2, 2024",Montreal Canadiens,Luke Tuch,Assigned to AHL
"Oct 2, 2024",Minnesota Wild,Reese Johnson,Assigned to AHL
"Oct 2, 2024",Minnesota Wild,Reese Johnson,Cleared Waivers
"Oct 2, 2024",Los Angeles Kings,Jacob Moverare,Assigned to AHL
"Oct 2, 2024",Los Angeles Kings,Jacob Moverare,Cleared Waivers
"Oct 2, 2024",Edmonton Oilers,Collin Delia,Assigned to AHL
"Oct 2, 2024",Edmonton Oilers,Collin Delia,Cleared Waivers
"Oct 2, 2024",Edmonton Oilers,Philip Kemp,Assigned to AHL
"Oct 2, 2024",Edmonton Oilers,Philip Kemp,Cleared Waivers
"Oct 2, 2024",Edmonton Oilers,Lane Pederson,Assigned to AHL
"Oct 2, 2024",Edmonton Oilers,Lane Pederson,Cleared Waivers
"Oct 2, 2024",Edmonton Oilers,Ben Gleason,Assigned to AHL
"Oct 2, 2024",Edmonton Oilers,Ben Gleason,Cleared Waivers
"Oct 2, 2024",Columbus Blue Jackets,Zach Sawchenko,Assigned to AHL
"Oct 2, 2024",Columbus Blue Jackets,Stanislav Svozil,Assigned to AHL
"Oct 2, 2024",Columbus Blue Jackets,Cole Clayton,Assigned to AHL
"Oct 2, 2024",Columbus Blue Jackets,Trey Fix-Wolansky,Placed on Waivers
"Oct 2, 2024",Colorado Avalanche,Calle Rosen,Placed on Waivers
"Oct 2, 2024",Colorado Avalanche,Matthew Phillips,Placed on Waivers
"Oct 2, 2024",Colorado Avalanche,Jack Ahcan,Placed on Waivers
"Oct 2, 2024",Chicago Blackhawks,Frank Nazar,Assigned to AHL
"Oct 2, 2024",Carolina Hurricanes,Spencer Martin,Placed on Waivers
"Oct 2, 2024",Calgary Flames,Jonathan Aspirot,Recalled from AHL
"Oct 2, 2024",Calgary Flames,Ilya Solovyov,Cleared Waivers
"Oct 2, 2024",Buffalo Sabres,Colton Poolman,Cleared Waivers
"Oct 2, 2024",Buffalo Sabres,Mason Jobst,Cleared Waivers
"Oct 2, 2024",Buffalo Sabres,Brett Murray,Cleared Waivers
"Oct 2, 2024",Buffalo Sabres,Felix Sandstrom,Cleared Waivers
"Oct 2, 2024",Buffalo Sabres,Jack Rathbone,Cleared Waivers
"Oct 2, 2024",Buffalo Sabres,Josh Dunne,Cleared Waivers
"Oct 2, 2024",Boston Bruins,Jiri Patera,Claimed on Waivers from Vancouver Canucks
"Oct 2, 2024",Anaheim Ducks,Carson Meyer,Assigned to AHL
"Oct 2, 2024",Anaheim Ducks,Carson Meyer,Cleared Waivers
"Oct 1, 2024",Utah Hockey Club,Travis Barron,Assigned to AHL
"Oct 1, 2024",Washington Capitals,Terik Parascak,Assigned to Junior Team
"Oct 1, 2024",Washington Capitals,Brett Hyland,Assigned to AHL
"Oct 1, 2024",Vancouver Canucks,Kirill Kudryavtsev,Assigned to AHL
"Oct 1, 2024",Vancouver Canucks,Max Sasson,Assigned to AHL
"Oct 1, 2024",Vancouver Canucks,Christian Felton,Assigned to AHL
"Oct 1, 2024",Vancouver Canucks,Jiri Patera,Placed on Waivers
"Oct 1, 2024",Vancouver Canucks,Nate Smith,Placed on Waivers
"Oct 1, 2024",Vancouver Canucks,Cole McWard,Placed on Waivers
"Oct 1, 2024",Vancouver Canucks,Ty Mueller,Assigned to AHL
"Oct 1, 2024",Vancouver Canucks,Linus Karlsson,Assigned to AHL
"Oct 1, 2024",Vancouver Canucks,Christian Wolanin,Placed on Waivers
"Oct 1, 2024",Vancouver Canucks,Phillip Di Giuseppe,Placed on Waivers
"Oct 1, 2024",Vancouver Canucks,Jonathan Lekkerimäki,Assigned to AHL
"Oct 1, 2024",Vancouver Canucks,Nikita Tolopilo,Assigned to AHL
"Oct 1, 2024",Vancouver Canucks,Elias Pettersson,Assigned to AHL
"Oct 1, 2024",Utah Hockey Club,Justin Barron,Assigned to AHL
"Oct 1, 2024",Utah Hockey Club,Kevin Connauton,Assigned to AHL
"Oct 1, 2024",Utah Hockey Club,Travis Barron,Cleared Waivers
"Oct 1, 2024",Utah Hockey Club,Kevin Connauton,Cleared Waivers
"Oct 1, 2024",St. Louis Blues,Nikita Alexandrov,Assigned to AHL
"Oct 1, 2024",Seattle Kraken,Brandon Biro,Placed on Waivers
"Oct 1, 2024",Seattle Kraken,Mitchell Stephens,Placed on Waivers
"Oct 1, 2024",Seattle Kraken,Ben Meyers,Placed on Waivers
"Oct 1, 2024",Seattle Kraken,Ville Ottavainen,Assigned to AHL
"Oct 1, 2024",Seattle Kraken,Ales Stezka,Placed on Waivers
"Oct 1, 2024",Seattle Kraken,Max McCormick,Placed on Waivers
"Oct 1, 2024",Seattle Kraken,Jacob Melanson,Assigned to AHL
"Oct 1, 2024",Seattle Kraken,Eduard Sale,Assigned to AHL
"Oct 1, 2024",Seattle Kraken,Gustav Olofsson,Placed on Waivers
"Oct 1, 2024",San Jose Sharks,Jimmy Schuldt,Assigned to AHL
"Oct 1, 2024",San Jose Sharks,Justin Bailey,Assigned to AHL
"Oct 1, 2024",San Jose Sharks,Justin Bailey,Cleared Waivers
"Oct 1, 2024",San Jose Sharks,Jimmy Schuldt,Cleared Waivers
"Oct 1, 2024",New York Rangers,Brandon Scanlin,Placed on Waivers
"Oct 1, 2024",New York Rangers,Adam Sykora,Assigned to AHL
"Oct 1, 2024",New York Rangers,Casey Fitzgerald,Placed on Waivers
"Oct 1, 2024",New York Rangers,Louis Domingue,Placed on Waivers
"Oct 1, 2024",New York Rangers,Dylan Roobroeck,Assigned to AHL
"Oct 1, 2024",New York Rangers,Jaroslav Chmelar,Assigned to AHL
"Oct 1, 2024",New York Rangers,Bryce McConnell-Barker,Assigned to AHL
"Oct 1, 2024",New York Rangers,Anton Blidh,Placed on Waivers
"Oct 1, 2024",Montreal Canadiens,Lucas Condotta,Recalled from AHL
"Oct 1, 2024",Montreal Canadiens,Luke Tuch,Recalled from AHL
"Oct 1, 2024",Minnesota Wild,Brendan Gaunce,Cleared Waivers
"Oct 1, 2024",Minnesota Wild,Devin Shore,Cleared Waivers
"Oct 1, 2024",Minnesota Wild,Travis Boyd,Assigned to AHL
"Oct 1, 2024",Minnesota Wild,Travis Boyd,Cleared Waivers
"Oct 1, 2024",Minnesota Wild,Devin Shore,Assigned to AHL
"Oct 1, 2024",Minnesota Wild,Reese Johnson,Placed on Waivers
"Oct 1, 2024",Minnesota Wild,Brendan Gaunce,Assigned to AHL
"Oct 1, 2024",Los Angeles Kings,Samuel Helenius,Assigned to AHL
"Oct 1, 2024",Los Angeles Kings,Jacob Moverare,Placed on Waivers
"Oct 1, 2024",Los Angeles Kings,Jeff Malott,Assigned to AHL
"Oct 1, 2024",Edmonton Oilers,James Hamblin,Assigned to AHL
"Oct 1, 2024",Edmonton Oilers,Beau Akey,Assigned to Junior Team
"Oct 1, 2024",Florida Panthers,Ryan McAllister,Assigned to AHL
"Oct 1, 2024",Florida Panthers,Wilmer Skoog,Assigned to AHL
"Oct 1, 2024",Florida Panthers,Oliver Okuliar,Assigned to AHL
"Oct 1, 2024",Florida Panthers,Nathan Staios,Assigned to AHL
"Oct 1, 2024",Edmonton Oilers,Collin Delia,Placed on Waivers
"Oct 1, 2024",Edmonton Oilers,Philip Kemp,Placed on Waivers
"Oct 1, 2024",Edmonton Oilers,Lane Pederson,Placed on Waivers
"Oct 1, 2024",Edmonton Oilers,Ben Gleason,Placed on Waivers
"Oct 1, 2024",Columbus Blue Jackets,Zach Sawchenko,Recalled from AHL
"Oct 1, 2024",Columbus Blue Jackets,Stanislav Svozil,Recalled from AHL
"Oct 1, 2024",Columbus Blue Jackets,Cole Clayton,Recalled from AHL
