team_id,team_tricode,season,forwards,defensemen,goalies
19,STL,20072008,"[8470655, 8468504, 8470330, 8465175, 8470123, 8466109, 8460527, 8459426, 8470294, 8459514, 8469508, 8468434, 8474102, 8458534, 8470223, 8470740, 8458229, 8458361]","[8467348, 8466142, 8468750, 8467890, 8473446, 8462045, 8471392, 8460626, 8473916, 8467408, 8469480]","[8470751, 8459308, 8471230, 8470084]"
19,STL,20082009,"[8470655, 8473534, 8468504, 8470647, 8465175, 8470123, 8459426, 8470294, 8468626, 8469508, 8468434, 8471698, 8469733, 8474102, 8470871, 8471360, 8470223, 8470257, 8470740, 8458229, 8465056, 8468515]","[8466142, 8469470, 8467890, 8473510, 8462045, 8474565, 8471392, 8470729, 8473916, 8468478, 8469480, 8471188]","[8471750, 8470772, 8459308, 8462152, 8471230]"
19,STL,20092010,"[8459064, 8470655, 8473534, 8468504, 8470647, 8471851, 8474189, 8470123, 8459426, 8470294, 8469508, 8468434, 8471698, 8474102, 8470223, 8470257, 8458229, 8468515]","[8466142, 8469470, 8467890, 8473446, 8473510, 8474565, 8471392, 8470729, 8458172, 8468478]","[8469152, 8462152]"
19,STL,20102011,"[8470655, 8473534, 8468504, 8471490, 8470647, 8471851, 8474762, 8471832, 8471753, 8470123, 8469508, 8468434, 8474592, 8471698, 8474102, 8470871, 8471817, 8460533, 8471743, 8470257, 8473485, 8468515]","[8466142, 8469470, 8474013, 8467890, 8473446, 8471348, 8470136, 8474565, 8471392, 8474031, 8470729]","[8471750, 8469152, 8470860]"
19,STL,20112012,"[8459429, 8470655, 8473534, 8471490, 8470647, 8471851, 8474634, 8459457, 8468434, 8459687, 8471698, 8474102, 8470871, 8471817, 8475768, 8471743, 8470257, 8470737, 8473485]","[8471710, 8469470, 8474013, 8474029, 8467478, 8467890, 8471348, 8474565, 8471392, 8471729, 8474031]","[8474596, 8470880, 8470860]"
19,STL,20122013,"[8470655, 8473534, 8471490, 8471851, 8476436, 8459457, 8468434, 8469685, 8459687, 8471698, 8474102, 8470871, 8471817, 8475768, 8471743, 8470257, 8473485, 8475765]","[8470151, 8474013, 8467890, 8467917, 8474565, 8471392, 8462033, 8471729, 8474031]","[8474596, 8470880, 8470860]"
19,STL,20132014,"[8469779, 8470655, 8473534, 8471490, 8476436, 8470654, 8466160, 8471698, 8468505, 8475175, 8470871, 8476427, 8471817, 8469485, 8475768, 8471743, 8470257, 8473485, 8475765]","[8470151, 8469470, 8474013, 8467890, 8467917, 8474565, 8471392, 8474031]","[8470880, 8470860, 8468011]"
19,STL,20142015,"[8470655, 8473534, 8470662, 8469473, 8476436, 8466140, 8470654, 8474627, 8470152, 8471698, 8468505, 8475175, 8470871, 8476427, 8471817, 8475768, 8471669, 8470257, 8475765]","[8474145, 8470151, 8471761, 8474013, 8474125, 8467890, 8467917, 8476989, 8469760, 8474565, 8474031]","[8474596, 8455710, 8470880]"
19,STL,20152016,"[8470655, 8473534, 8470803, 8471426, 8475150, 8477952, 8467351, 8467899, 8476436, 8474627, 8468505, 8475175, 8476427, 8471817, 8475768, 8471669, 8470257, 8475765, 8470105, 8476819]","[8470378, 8474145, 8470151, 8471761, 8476441, 8474125, 8476989, 8476892, 8474565, 8474031]","[8474596, 8476412, 8477831, 8470880, 8475195]"
19,STL,20162017,"[8475844, 8477964, 8473534, 8470803, 8477952, 8476436, 8474627, 8475263, 8475175, 8474102, 8476427, 8471817, 8477482, 8475768, 8471743, 8471669, 8470257, 8475765, 8470105, 8476855]","[8474145, 8470151, 8471761, 8476441, 8474125, 8476779, 8476989, 8476892, 8474565, 8476877, 8474031]","[8474596, 8477831, 8475622]"
19,STL,20172018,"[8477964, 8475761, 8473534, 8478104, 8470803, 8476436, 8475263, 8475175, 8475170, 8475768, 8471743, 8478373, 8471669, 8470257, 8476897, 8475765, 8479420, 8469501, 8470105]","[8474145, 8470151, 8471761, 8478407, 8476441, 8474125, 8476892, 8474565, 8475613, 8480761, 8476877]","[8474596, 8475622]"
19,STL,20182019,"[8477964, 8478104, 8475098, 8477952, 8479385, 8476907, 8474034, 8475325, 8475158, 8474102, 8477482, 8475170, 8475768, 8478373, 8470257, 8476897, 8475765, 8480023, 8469501]","[8474145, 8470151, 8471761, 8474584, 8478407, 8476441, 8474125, 8480143, 8476892, 8474565, 8476877]","[8474596, 8476412, 8473434]"
19,STL,20192020,"[8477964, 8478104, 8475098, 8471426, 8477455, 8477952, 8480011, 8479385, 8476907, 8475158, 8474102, 8478040, 8477482, 8475170, 8475768, 8470257, 8476897, 8475765, 8480023, 8477573]","[8474145, 8470151, 8478407, 8475753, 8474125, 8478859, 8476892, 8474565, 8476884, 8474618, 8478013]","[8474596, 8476412]"
19,STL,20202021,"[8477964, 8478104, 8475098, 8475160, 8477455, 8474884, 8478057, 8480011, 8479385, 8476907, 8475158, 8474102, 8478040, 8477482, 8475170, 8475768, 8476897, 8475765, 8480023, 8477573]","[8474145, 8478407, 8475753, 8474125, 8476792, 8478859, 8476892, 8480761, 8477463, 8474618, 8478013]","[8476412, 8478024]"
19,STL,20212022,"[8477964, 8475098, 8479366, 8477402, 8475160, 8478057, 8480011, 8479385, 8476907, 8471707, 8482089, 8475158, 8476285, 8474102, 8476438, 8475170, 8476897, 8475765, 8480023, 8480281, 8477573]","[8474145, 8475753, 8476792, 8475181, 8478859, 8476892, 8481059, 8480157, 8477463, 8474618, 8478013]","[8476412, 8476903, 8480981, 8478024, 8479292]"
19,STL,20222023,"[8478569, 8481543, 8477964, 8479375, 8478104, 8479366, 8477402, 8478146, 8477953, 8479385, 8476410, 8481070, 8482089, 8475158, 8475752, 8476438, 8475170, 8475765, 8480023, 8480281, 8477944, 8477573]","[8474145, 8475753, 8482516, 8476792, 8475181, 8478859, 8476892, 8480157, 8480041, 8477463, 8474618, 8481006]","[8476412, 8471306, 8480981]"
19,STL,20232024,"[8481543, 8477402, 8479385, 8482089, 8476438, 8475170, 8476897, 8480074, 8480023, 8480281, 8477573]","[8475753, 8476792, 8475181, 8476892, 8481059, 8481006]","[8476412, 8480981]"
19,STL,20242025,"[8482737, 8477402, 8476889, 8482077, 8478472, 8479385, 8482089, 8475170, 8483516, 8476897, 8480074, 8480023, 8480281, 8477573]","[8481598, 8475753, 8475764, 8482516, 8475181, 8476892, 8470600, 8481006]","[8476412, 8482205, 8480981]"
16,CHI,19261927,"[8445940, 8445972, 8446750, 8447020, 8447545, 8447771, 8447827, 8448332, 8448429, 8449551]","[8445968, 8446489, 8449251, 8449253, 8449254]",[8450013]
16,CHI,19271928,"[8444967, 8445189, 8445873, 8445972, 8447020, 8447143, 8447283, 8447545, 8447671, 8447827, 8447870, 8448429, 8449156, 8449366]","[8446489, 8446631, 8446891, 8447887, 8449220, 8449253, 8449383]","[8449966, 8450013]"
16,CHI,19281929,"[8444967, 8445288, 8445746, 8446617, 8447020, 8447143, 8447609, 8447794, 8447870, 8448334]","[8446564, 8446891, 8447468, 8447517, 8449220, 8449383]",[8449966]
16,CHI,19291930,"[8444863, 8444967, 8445288, 8445537, 8445746, 8446617, 8447018, 8447609, 8447870, 8448334, 8449126]","[8444855, 8445127, 8445968, 8446631, 8449220, 8449383]",[8449966]
16,CHI,19301931,"[8444863, 8444967, 8445537, 8445746, 8445885, 8446617, 8447018, 8447052, 8447609, 8447870, 8448334, 8448440, 8449126, 8449306]","[8444855, 8445127, 8445968, 8446631, 8449383]",[8449966]
16,CHI,19311932,"[8444863, 8445537, 8445746, 8446617, 8446901, 8447018, 8447523, 8447609, 8447870, 8448334, 8448440, 8449232]","[8444855, 8445127, 8445135, 8445742, 8446631, 8449003, 8449383]","[8449861, 8449966]"
16,CHI,19321933,"[8445255, 8445537, 8445746, 8446617, 8446901, 8447052, 8450173, 8447609, 8447770, 8448334, 8448440, 8449232]","[8444855, 8445127, 8445742, 8446631, 8449464]",[8449966]
16,CHI,19331934,"[8445537, 8445746, 8446607, 8446617, 8447052, 8447163, 8447469, 8447609, 8447770, 8448440, 8449007, 8449232, 8449266]","[8444855, 8445514, 8445742, 8450158, 8445968]",[8449966]
16,CHI,19341935,"[8445537, 8445746, 8446607, 8446617, 8447163, 8447511, 8447609, 8447770, 8447888, 8448440, 8449232, 8449266]","[8445262, 8445742, 8447167, 8447473, 8449464]",[8449850]
16,CHI,19351936,"[8445233, 8445537, 8446617, 8447163, 8447328, 8447511, 8447609, 8447770, 8447888, 8448076, 8448440, 8449232, 8449266]","[8445262, 8445742, 8447473, 8448951, 8449464]",[8450007]
16,CHI,19361937,"[8445093, 8445165, 8445233, 8445537, 8446617, 8447150, 8447163, 8447328, 8447609, 8448080, 8448440, 8449205, 8449232, 8449266]","[8445262, 8447024, 8447222, 8447327, 8447473, 8448791, 8448951, 8449464]",[8450007]
