playerID,seasonAssists,seasonGameTypeId,seasonGamesPlayed,seasonGoals,seasonLeagueAbbrev,seasonPIM,seasonPoints,seasonSeason,seasonTeamName,seasonWins,seasonLosses,seasonGAA,seasonSavePct,seasonOTLosses,seasonShotsAgainst,seasonShutouts,seasonGoalsAgainst,seasonTimeOnIce,seasonTies
8484173,6,3,7,6,QMJHL,2,12,20242025,Drummondville Voltigeurs,,,,,,,,,,
8484175,7,2,28,1,CSSHL U15,55,8,20182019,Delta Hockey Academy U15 Prep W,,,,,,,,,,
8484175,15,2,23,4,CSSHL U15,77,19,20192020,Delta Hockey Academy U15 Prep G,,,,,,,,,,
8484175,0,3,1,0,CSSHL U15,2,0,20192020,Delta Hockey Academy U15 Prep,,,,,,,,,,
8484175,0,2,14,2,WHL,14,2,20202021,Prince Albert Raiders,,,,,,,,,,
8484175,2,2,5,0,CSSHL U17,12,2,20202021,Delta Hockey Academy U17 Prep,,,,,,,,,,
8484175,2,2,47,2,WHL,40,4,20212022,Prince Albert Raiders,,,,,,,,,,
8484175,0,3,2,0,WHL,0,0,20212022,Prince Albert Raiders,,,,,,,,,,
8484175,6,2,58,3,WHL,102,9,20222023,Prince Albert Raiders,,,,,,,,,,
8484175,12,2,66,3,WHL,122,15,20232024,Prince Albert Raiders,,,,,,,,,,
8484175,1,3,5,0,WHL,8,1,20232024,Prince Albert Raiders,,,,,,,,,,
8484175,12,2,56,4,WHL,99,16,20242025,Tri-City Americans,,,,,,,,,,
8484176,6,2,12,13,U16 SM-sarja,49,19,20192020,Jokerit/Viikingit U16,,,,,,,,,,
8484176,10,2,17,9,U18 SM-sarja,81,19,20202021,Jokerit U18,,,,,,,,,,
8484176,7,2,5,11,U16 SM-sarja,14,18,20202021,Jokerit U16,,,,,,,,,,
8484176,2,2,6,3,WJC-18,0,5,20212022,Finland U18,,,,,,,,,,
8484176,14,2,41,24,U20 SM-sarja,75,38,20212022,Jokerit U20,,,,,,,,,,
8484176,2,2,4,0,EYOF,0,2,20212022,Finland U18,,,,,,,,,,
8484176,0,2,5,0,Hlinka Gretzky Cup,6,0,20212022,Finland U18,,,,,,,,,,
8484176,2,3,5,3,U18 SM-sarja,6,5,20212022,Jokerit U18,,,,,,,,,,
8484176,0,3,1,1,U20 SM-sarja,25,1,20212022,Jokerit U20,,,,,,,,,,
8484176,1,2,27,0,Liiga,8,1,20222023,HIFK,,,,,,,,,,
8484176,0,2,2,1,Spengler Cup,0,1,20222023,HIFK,,,,,,,,,,
8484176,2,2,3,1,Mestis,2,3,20222023,Kiekko-Vantaa,,,,,,,,,,
8484176,4,2,5,6,WJC-18,6,10,20222023,Finland U18,,,,,,,,,,
8484176,6,2,18,18,U20 SM-sarja,14,24,20222023,HIFK U20,,,,,,,,,,
8484176,2,2,5,1,Hlinka Gretzky Cup,4,3,20222023,Finland U18,,,,,,,,,,
8484176,0,3,1,0,Liiga,0,0,20222023,HIFK,,,,,,,,,,
8484176,1,3,3,1,Mestis,4,2,20222023,Kiekko-Vantaa,,,,,,,,,,
8484176,0,3,3,0,U20 SM-sarja,0,0,20222023,HIFK U20,,,,,,,,,,
8484176,29,2,57,32,OHL,61,61,20232024,London Knights,,,,,,,,,,
8484176,1,2,4,4,Memorial Cup,2,5,20232024,London Knights,,,,,,,,,,
8484176,3,2,7,3,WJC-20,4,6,20232024,Finland U20,,,,,,,,,,
8484176,9,3,18,17,OHL,14,26,20232024,London Knights,,,,,,,,,,
8484176,20,2,38,21,OHL,38,41,20242025,London Knights,,,,,,,,,,
8484176,2,2,5,2,Memorial Cup,0,4,20242025,London Knights,,,,,,,,,,
8484176,3,2,7,1,WJC-20,6,4,20242025,Finland U20,,,,,,,,,,
8484176,2,2,6,2,AHL,2,4,20242025,San Jose Barracuda,,,,,,,,,,
8484176,6,3,17,15,OHL,18,21,20242025,London Knights,,,,,,,,,,
8484178,5,2,6,5,Brick Invitational,6,10,20142015,Saskatchewan Jr. Pats,,,,,,,,,,
8484178,2,3,3,2,Brick Invitational,2,4,20142015,Saskatchewan Jr. Pats,,,,,,,,,,
8484178,32,2,31,22,SAAHL U15,50,54,20172018,Martensville Marauders U15 AA,,,,,,,,,,
8484178,1,3,2,1,SAAHL U15,14,2,20172018,Martensville Marauders U15 AA,,,,,,,,,,
8484178,63,2,31,36,SAAHL U15,38,99,20182019,Martensville Marauders U15 AA,,,,,,,,,,
8484178,17,3,9,7,SAAHL U15,4,24,20182019,Martensville Marauders U15 AA,,,,,,,,,,
8484178,20,2,44,17,SMAAAHL,22,37,20192020,Saskatoon Contacts U18 AAA,,,,,,,,,,
8484178,4,3,6,3,SMAAAHL,2,7,20192020,Saskatoon Contacts U18 AAA,,,,,,,,,,
8484178,6,2,22,2,WHL,12,8,20202021,Prince George Cougars,,,,,,,,,,
8484178,7,2,6,3,SMAAAHL,6,10,20202021,Saskatoon Contacts U18 AAA,,,,,,,,,,
8484178,37,2,65,21,WHL,51,58,20212022,Prince George Cougars,,,,,,,,,,
8484178,2,3,3,1,WHL,12,3,20212022,Prince George Cougars,,,,,,,,,,
8484178,72,2,68,25,WHL,36,97,20222023,Prince George Cougars,,,,,,,,,,
8484178,2,2,5,0,WJC-18,0,2,20222023,Canada U18,,,,,,,,,,
8484178,3,2,5,3,Hlinka Gretzky Cup,0,6,20222023,Canada U18,,,,,,,,,,
8484178,6,3,9,2,WHL,9,8,20222023,Prince George Cougars,,,,,,,,,,
8484178,80,2,66,37,WHL,42,117,20232024,Prince George Cougars,,,,,,,,,,
8484178,16,3,15,3,WHL,18,19,20232024,Prince George Cougars,,,,,,,,,,
8484178,59,2,60,31,WHL,39,90,20242025,Prince George Cougars,,,,,,,,,,
8484178,4,3,6,5,WHL,7,9,20242025,Prince George Cougars,,,,,,,,,,
8484180,1,2,17,2,Slovakia U16,0,3,20172018,HK Dukla Trencin U16,,,,,,,,,,
8484180,28,2,33,17,Slovakia U16,10,45,20182019,HK Dukla Trencin U16,,,,,,,,,,
8484180,18,2,36,16,Slovakia U18,14,34,20192020,HK Dukla Trencin U18,,,,,,,,,,
8484180,11,2,13,15,Slovakia U16,2,26,20192020,HK Dukla Trencin U16,,,,,,,,,,
8484180,0,2,5,0,Slovakia,0,0,20202021,HK Dukla Trencin,,,,,,,,,,
8484180,1,2,8,4,Slovakia2,4,5,20202021,HK Spartak Dubnica,,,,,,,,,,
8484180,1,2,4,1,Slovakia U20,2,2,20202021,HK Dukla Trencin U20,,,,,,,,,,
8484180,0,2,2,1,Slovakia2,0,1,20202021,Team Slovakia U18,,,,,,,,,,
8484180,4,2,49,10,Slovakia,8,14,20212022,HK Dukla Trencin,,,,,,,,,,
8484180,2,2,5,4,WJC-18 D1A,0,6,20212022,Slovakia U18,,,,,,,,,,
8484180,0,2,4,0,WJC-20,4,0,20212022,Slovakia U20,,,,,,,,,,
8484180,6,2,5,1,Slovakia U20,0,7,20212022,HK Dukla Trencin U20,,,,,,,,,,
8484180,0,2,4,0,Hlinka Gretzky Cup,0,0,20212022,Slovakia U18,,,,,,,,,,
8484180,0,3,4,0,Slovakia,0,0,20212022,HK Dukla Trencin,,,,,,,,,,
8484180,1,3,1,0,Slovakia U20,0,1,20212022,HK Dukla Trencin U20,,,,,,,,,,
8484180,33,2,43,23,WHL,16,56,20222023,Vancouver Giants,,,,,,,,,,
8484180,0,2,2,0,WJC-20,2,0,20222023,Slovakia U20,,,,,,,,,,
8484180,3,3,4,1,WHL,0,4,20222023,Vancouver Giants,,,,,,,,,,
8484180,21,2,33,10,WHL,18,31,20232024,Vancouver Giants,,,,,,,,,,
8484180,1,2,5,3,WJC-20,2,4,20232024,Slovakia U20,,,,,,,,,,
8484180,0,2,2,0,AHL,0,0,20232024,Calgary Wranglers,,,,,,,,,,
8484180,0,3,5,2,WHL,2,2,20232024,Vancouver Giants,,,,,,,,,,
8484180,0,3,1,0,AHL,0,0,20232024,Calgary Wranglers,,,,,,,,,,
8484180,0,2,5,0,NHL,2,0,20242025,Calgary Flames,,,,,,,,,,
8484180,13,2,52,8,AHL,18,21,20242025,Calgary Wranglers,,,,,,,,,,
8484180,0,3,2,0,AHL,0,0,20242025,Calgary Wranglers,,,,,,,,,,
8484184,1,2,6,4,WSI U14 AAA,,5,20182019,Finland Selects U14 2,,,,,,,,,,
8484184,19,2,16,7,U16 SM-sarja,4,26,20192020,Pelicans U16,,,,,,,,,,
8484184,2,2,6,0,U20 SM-sarja,2,2,20202021,Pelicans U20,,,,,,,,,,
8484184,14,2,27,6,U18 SM-sarja,0,20,20202021,Pelicans U18,,,,,,,,,,
8484184,9,2,43,8,U20 SM-sarja,2,17,20212022,Pelicans U20,,,,,,,,,,
8484184,13,2,9,8,U18 SM-sarja,2,21,20212022,Pelicans U18,,,,,,,,,,
8484184,0,3,3,0,U20 SM-sarja,0,0,20212022,Pelicans U20,,,,,,,,,,
8484184,2,2,5,3,WJC-18,2,5,20222023,Finland U18,,,,,,,,,,
8484184,23,2,41,11,U20 SM-sarja,26,34,20222023,Pelicans U20,,,,,,,,,,
8484184,0,2,2,0,Mestis,2,0,20222023,Peliitat,,,,,,,,,,
