seasonID,playerID,seasonType,statCategory,statValue
19341935,8449856,3,goalsAgainstAverage,1.116279
19341935,8450127,3,goalsAgainstAverage,1.527088
19341935,8449987,3,goalsAgainstAverage,1.563518
19341935,8450009,3,goalsAgainstAverage,2.5
19351936,8450115,2,wins,24.0
19351936,8449987,2,wins,23.0
19351936,8450127,2,wins,22.0
19351936,8450007,2,wins,21.0
19351936,8450009,2,wins,18.0
19351936,8450127,2,shutouts,10.0
19351936,8450007,2,shutouts,9.0
19351936,8450009,2,shutouts,8.0
19351936,8449987,2,shutouts,8.0
19351936,8449861,2,shutouts,6.0
19351936,8450127,2,goalsAgainstAverage,1.679181
19351936,8450007,2,goalsAgainstAverage,1.846154
19351936,8450009,2,goalsAgainstAverage,1.912752
19351936,8450115,2,goalsAgainstAverage,2.039604
19351936,8449850,2,goalsAgainstAverage,2.079208
19351936,8450115,3,wins,6.0
19351936,8449987,3,wins,4.0
19351936,8450153,3,wins,2.0
19351936,8450007,3,wins,1.0
19351936,8450127,3,wins,1.0
19351936,8450153,3,shutouts,2.0
19351936,8450115,3,shutouts,2.0
19351936,8450127,3,shutouts,1.0
19351936,8449850,3,goalsAgainstAverage,1.214165
19351936,8450115,3,goalsAgainstAverage,1.340782
19351936,8450153,3,goalsAgainstAverage,2.2
19351936,8449987,3,goalsAgainstAverage,2.997225
19351936,8450007,3,goalsAgainstAverage,3.5
19361937,8450115,2,wins,25.0
19361937,8450127,2,wins,23.0
19361937,8449837,2,wins,22.0
19361937,8449861,2,wins,22.0
19361937,8450009,2,wins,19.0
19361937,8450115,2,shutouts,6.0
19361937,8450127,2,shutouts,6.0
19361937,8449861,2,shutouts,5.0
19361937,8450007,2,shutouts,5.0
19361937,8450009,2,shutouts,4.0
19361937,8450115,2,goalsAgainstAverage,2.053691
19361937,8450009,2,goalsAgainstAverage,2.09901
19361937,8449861,2,goalsAgainstAverage,2.175824
19361937,8449821,2,goalsAgainstAverage,2.186047
19361937,8449856,2,goalsAgainstAverage,2.210526
19361937,8450009,3,wins,6.0
19361937,8450105,3,wins,3.0
19361937,8450115,3,wins,3.0
19361937,8449821,3,wins,2.0
19361937,8449861,3,wins,2.0
19361937,8450009,3,shutouts,4.0
19361937,8450105,3,shutouts,2.0
19361937,8450127,3,shutouts,1.0
19361937,8450115,3,shutouts,1.0
19361937,8450009,3,goalsAgainstAverage,1.084827
19361937,8450115,3,goalsAgainstAverage,1.275314
19361937,8450105,3,goalsAgainstAverage,1.411765
19361937,8449821,3,goalsAgainstAverage,2.2
