teamID,playerID,headshotURLs,firstName,lastName,positionCode,seasonGamesPlayed,seasonGoals,seasonAssists,seasonPoints,seasonPlusMinus,seasonShots,seasonShootingPct,seasonAvgTOI,seasonAvgShifts,seasonFOWinPct,seasonGS,seasonWins,seasonLosses,seasonTies,seasonOTLosses,seasonGAA,seasonSavePct,seasonSA,seasonSaves,seasonGA,seasonSO,seasonTOI
2,8476419,https://assets.nhle.com/mugs/nhl/20242025/NYI/8476419.png,Jean-Gabriel,Pageau,C,79,14,28,42,4,120,0.116667,1019.8354,22.0886,0.596154,,,,,,,,,,,,
2,8476422,https://assets.nhle.com/mugs/nhl/20242025/NYI/8476422.png,Mike,Reilly,D,18,0,2,2,-3,31,0.0,910.0556,22.6111,0.0,,,,,,,,,,,,
2,8476429,https://assets.nhle.com/mugs/nhl/20242025/NYI/8476429.png,Scott,Mayfield,D,66,3,6,9,18,51,0.058824,1020.0455,23.3939,0.0,,,,,,,,,,,,
2,8476917,https://assets.nhle.com/mugs/nhl/20242025/NYI/8476917.png,Adam,Pelech,D,60,0,21,21,4,109,0.0,1266.8333,29.1333,0.0,,,,,,,,,,,,
2,8477392,https://assets.nhle.com/mugs/nhl/20242025/NYI/8477392.png,Hudson,Fasching,R,43,2,2,4,-4,51,0.039216,664.907,15.186,0.2,,,,,,,,,,,,
2,8477407,https://assets.nhle.com/mugs/nhl/20242025/NYI/8477407.png,Anthony,Duclair,L,44,7,4,11,-15,60,0.116667,902.5,19.5682,0.0,,,,,,,,,,,,
2,8477500,https://assets.nhle.com/mugs/nhl/20242025/NYI/8477500.png,Bo,Horvat,C,81,28,29,57,-4,243,0.115226,1210.4074,23.1728,0.581501,,,,,,,,,,,,
2,8477506,https://assets.nhle.com/mugs/nhl/20242025/NYI/8477506.png,Ryan,Pulock,D,74,5,18,23,2,97,0.051546,1264.7838,29.2568,0.0,,,,,,,,,,,,
2,8477950,https://assets.nhle.com/mugs/nhl/20242025/NYI/8477950.png,Tony,DeAngelo,D,35,4,15,19,-11,76,0.052632,1400.6286,27.2857,0.0,,,,,,,,,,,,
2,8478115,https://assets.nhle.com/mugs/nhl/20242025/NYI/8478115.png,Pierre,Engvall,L,62,8,7,15,-7,93,0.086022,709.0484,15.7258,0.294118,,,,,,,,,,,,
2,8478445,https://assets.nhle.com/mugs/nhl/20242025/NYI/8478445.png,Mathew,Barzal,C,30,6,14,20,10,78,0.076923,1220.9667,21.6,0.423077,,,,,,,,,,,,
2,8479328,https://assets.nhle.com/mugs/nhl/20242025/NYI/8479328.png,Julien,Gauthier,R,1,0,0,0,0,0,0.0,462.0,12.0,0.0,,,,,,,,,,,,
2,8480306,https://assets.nhle.com/mugs/nhl/20242025/NYI/8480306.png,Grant,Hutton,D,13,0,2,2,1,10,0.0,807.6923,20.8462,0.0,,,,,,,,,,,,
2,8480853,https://assets.nhle.com/mugs/nhl/20242025/NYI/8480853.png,Liam,Foudy,C,2,0,0,0,-1,1,0.0,447.0,11.5,0.0,,,,,,,,,,,,
2,8480865,https://assets.nhle.com/mugs/nhl/20242025/NYI/8480865.png,Noah,Dobson,D,71,10,29,39,-16,196,0.05102,1396.338,28.6479,0.0,,,,,,,,,,,,
2,8480871,https://assets.nhle.com/mugs/nhl/20242025/NYI/8480871.png,Adam,Boqvist,D,35,4,10,14,-9,40,0.1,844.3143,18.4571,0.0,,,,,,,,,,,,
2,8481014,https://assets.nhle.com/mugs/nhl/20242025/NYI/8481014.png,Alexander,Romanov,D,64,4,16,20,5,100,0.04,1338.4219,27.5469,0.0,,,,,,,,,,,,
2,8481059,https://assets.nhle.com/mugs/nhl/20242025/NYI/8481059.png,Scott,Perunovich,D,35,2,7,9,-3,18,0.111111,960.4286,20.4857,0.0,,,,,,,,,,,,
2,8481237,https://assets.nhle.com/mugs/nhl/20242025/NYI/8481237.png,Kyle,MacLean,C,81,4,7,11,-15,61,0.065574,597.7407,13.9877,0.482332,,,,,,,,,,,,
2,8481541,https://assets.nhle.com/mugs/nhl/20242025/NYI/8481541.png,Samuel,Bolduc,D,1,0,0,0,-1,0,0.0,356.0,11.0,0.0,,,,,,,,,,,,
2,8481601,https://assets.nhle.com/mugs/nhl/20242025/NYI/8481601.png,Simon,Holmstrom,R,75,20,25,45,5,96,0.208333,1011.8933,21.6267,0.2,,,,,,,,,,,,
2,8483448,https://assets.nhle.com/mugs/nhl/20242025/NYI/8483448.png,Isaiah,George,D,33,1,4,5,-3,26,0.038462,938.7879,20.9394,0.0,,,,,,,,,,,,
2,8483553,https://assets.nhle.com/mugs/nhl/20242025/NYI/8483553.png,Marc,Gatcomb,C,39,8,1,9,-4,41,0.195122,587.2308,13.5641,0.416667,,,,,,,,,,,,
2,8484958,https://assets.nhle.com/mugs/nhl/20242025/NYI/8484958.png,Maxim,Tsyplakov,R,77,10,25,35,4,116,0.086207,898.026,18.5584,0.434783,,,,,,,,,,,,
2,8473575,https://assets.nhle.com/mugs/nhl/20242025/NYI/8473575.png,Semyon,Varlamov,G,10,0,0,0,,,,,,,10,3,4,0,3,2.888446,0.889313,262,233,29,0,36144
2,8477405,https://assets.nhle.com/mugs/nhl/20242025/NYI/8477405.png,Marcus,Hogberg,G,15,0,0,0,,,,,,,11,2,6,0,3,3.378115,0.877612,335,294,41,0,43693
2,8478009,https://assets.nhle.com/mugs/nhl/20242025/NYI/8478009.png,Ilya,Sorokin,G,61,1,2,3,,,,,,,60,30,24,0,6,2.709462,0.907375,1695,1538,158,4,209931
2,8480819,https://assets.nhle.com/mugs/nhl/20242025/NYI/8480819.png,Jakub,Skarek,G,2,0,0,0,,,,,,,1,0,1,0,0,3.939593,0.871795,39,34,5,0,4569
2,8482668,https://assets.nhle.com/mugs/nhl/20242025/NYI/8482668.png,Tristan,Lennox,G,1,0,0,0,,,,,,,0,0,0,0,0,12.720848,0.5,2,1,1,0,283
28,8471709,https://assets.nhle.com/mugs/nhl/20242025/SJS/8471709.png,Marc-Edouard,Vlasic,D,27,1,2,3,-10,20,0.05,877.5185,19.1111,0.0,,,,,,,,,,,,
28,8475726,https://assets.nhle.com/mugs/nhl/20242025/SJS/8475726.png,Tyler,Toffoli,C,78,30,24,54,-21,233,0.128755,1015.7692,19.8462,0.541667,,,,,,,,,,,,
28,8476624,https://assets.nhle.com/mugs/nhl/20242025/SJS/8476624.png,Barclay,Goodrow,C,77,5,3,8,-37,73,0.068493,827.013,17.8701,0.428571,,,,,,,,,,,,
28,8477149,https://assets.nhle.com/mugs/nhl/20242025/SJS/8477149.png,Scott,Sabourin,R,1,0,0,0,-2,0,0.0,627.0,14.0,0.0,,,,,,,,,,,,
28,8477505,https://assets.nhle.com/mugs/nhl/20242025/SJS/8477505.png,Alexander,Wennberg,C,77,10,25,35,-21,82,0.121951,1131.4286,21.3896,0.47521,,,,,,,,,,,,
28,8479249,https://assets.nhle.com/mugs/nhl/20242025/SJS/8479249.png,Andrew,Poturalski,C,3,0,1,1,-1,5,0.0,867.3333,16.6667,0.488372,,,,,,,,,,,,
28,8479336,https://assets.nhle.com/mugs/nhl/20242025/SJS/8479336.png,Carl,Grundstrom,R,56,3,6,9,-21,88,0.034091,575.7857,12.5357,0.428571,,,,,,,,,,,,
28,8479393,https://assets.nhle.com/mugs/nhl/20242025/SJS/8479393.png,Noah,Gregor,L,52,4,3,7,-21,60,0.066667,666.3654,17.2692,0.571429,,,,,,,,,,,,
28,8479523,https://assets.nhle.com/mugs/nhl/20242025/SJS/8479523.png,Lucas,Carlsson,D,13,1,3,4,-2,15,0.066667,1161.7692,25.0769,0.0,,,,,,,,,,,,
28,8479576,https://assets.nhle.com/mugs/nhl/20242025/SJS/8479576.png,Vincent,Desharnais,D,51,0,3,3,-9,28,0.0,955.1373,22.2353,0.0,,,,,,,,,,,,
28,8479983,https://assets.nhle.com/mugs/nhl/20242025/SJS/8479983.png,Mario,Ferraro,D,78,5,12,17,-25,79,0.063291,1284.0897,24.3846,0.0,,,,,,,,,,,,
28,8480011,https://assets.nhle.com/mugs/nhl/20242025/SJS/8480011.png,Klim,Kostin,C,35,1,6,7,-6,28,0.035714,640.6,14.4857,0.307692,,,,,,,,,,,,
28,8480043,https://assets.nhle.com/mugs/nhl/20242025/SJS/8480043.png,Timothy,Liljegren,D,68,6,11,17,-25,102,0.058824,1151.7647,23.7941,0.0,,,,,,,,,,,,
28,8480172,https://assets.nhle.com/mugs/nhl/20242025/SJS/8480172.png,Jan,Rutta,D,54,3,6,9,-3,55,0.054545,1035.3704,22.037,0.0,,,,,,,,,,,,
28,8480825,https://assets.nhle.com/mugs/nhl/20242025/SJS/8480825.png,Patrick,Giles,R,17,1,0,1,-3,15,0.066667,553.8824,13.4706,0.340206,,,,,,,,,,,,
28,8480848,https://assets.nhle.com/mugs/nhl/20242025/SJS/8480848.png,Ty,Dellandrea,C,68,1,7,8,-31,50,0.02,708.2647,15.5441,0.498807,,,,,,,,,,,,
28,8481042,https://assets.nhle.com/mugs/nhl/20242025/SJS/8481042.png,Nikolai,Kovalenko,R,57,7,13,20,-9,45,0.155556,740.4211,16.7018,0.222222,,,,,,,,,,,,
28,8481486,https://assets.nhle.com/mugs/nhl/20242025/SJS/8481486.png,Jimmy,Schuldt,D,8,0,0,0,-2,4,0.0,827.0,19.125,0.0,,,,,,,,,,,,
28,8481567,https://assets.nhle.com/mugs/nhl/20242025/SJS/8481567.png,Henry,Thrun,D,60,2,10,12,-23,52,0.038462,1050.8167,21.6,0.0,,,,,,,,,,,,
28,8482101,https://assets.nhle.com/mugs/nhl/20242025/SJS/8482101.png,Danil,Gushchin,L,12,0,1,1,-3,16,0.0,738.0,15.0,1.0,,,,,,,,,,,,
28,8482133,https://assets.nhle.com/mugs/nhl/20242025/SJS/8482133.png,Thomas,Bordeleau,C,1,0,0,0,0,1,0.0,638.0,18.0,1.0,,,,,,,,,,,,
28,8482144,https://assets.nhle.com/mugs/nhl/20242025/SJS/8482144.png,Jack,Thompson,D,31,4,6,10,-9,41,0.097561,947.4194,20.129,0.0,,,,,,,,,,,,
28,8482166,https://assets.nhle.com/mugs/nhl/20242025/SJS/8482166.png,Shakir,Mukhamadullin,D,30,2,7,9,-7,30,0.066667,1084.0333,22.2667,0.0,,,,,,,,,,,,
28,8482206,https://assets.nhle.com/mugs/nhl/20242025/SJS/8482206.png,Ethan,Cardwell,R,6,1,0,1,-2,5,0.2,691.8333,15.1667,0.5,,,,,,,,,,,,
28,8482652,https://assets.nhle.com/mugs/nhl/20242025/SJS/8482652.png,Walker,Duehr,R,24,2,1,3,-11,15,0.133333,528.2083,12.5833,0.111111,,,,,,,,,,,,
28,8482667,https://assets.nhle.com/mugs/nhl/20242025/SJS/8482667.png,William,Eklund,L,77,17,41,58,-7,151,0.112583,1173.1948,21.2857,0.305556,,,,,,,,,,,,
28,8482859,https://assets.nhle.com/mugs/nhl/20242025/SJS/8482859.png,Zack,Ostapchuk,C,56,1,3,4,-8,26,0.038462,565.1607,14.8571,0.485816,,,,,,,,,,,,
